loan_id,borrower_id,loan_amount,interest_rate,term_years,issue_date,purpose,loan_status,has_collateral
L000072,B00479,2554999,0.0518,5,01-Mar-2022,Equipment purchase,Active,False
L000073,B00256,134440,0.0637,7,19-Jun-2023,Equipment purchase,Active,False
L000074,B00257,2322418,0.0462,7,10-Feb-2021,Equipment purchase,Paid,False
L000075,B00455,718425,0.068,4,01/15/2024,Equipment purchase,Active,False
L000076,B00865,263170,0.0673,5,19-Jan-2024,M&A,Active,True
L000077,B00977,126057,0.0577,1,25-May-2022,Refinance,Active,True
L000078,B00646,48609,0.0569,2,04-Apr-2021,M&A,Paid,False
L000079,B00594,118379,0.0441,3,23-Jan-2022,Working capital,Active,True
L000080,B00879,5701585,0.0435,7,2021-10-08,Refinance,Active,True
L000081,B00080,101719,0.07,3,12-Oct-2023,Working capital,Active,False
L000082,B00897,432432,0.035,3,20-Jun-2021,Refinance,Paid,True
L000083,B00384,988588,0.0518,4,2023-10-01,Expansion,Paid,False
L000084,B00027,122922,0.0555,2,17-Jun-2022,M&A,Active,False
L000085,B00963,2833708,0.0528,3,24-Nov-2021,Project finance,Active,False
L000086,B00080,429235,0.0892,10,17-Oct-2022,Project finance,Active,False
L000087,B00751,1667861,0.0541,2,16-Oct-2021,Equipment purchase,Active,True
L000088,B00857,1713189,0.0576,5,08-Jun-2022,Expansion,Active,True
L000089,B00767,613471,0.0646,10,24-Aug-2022,Working capital,Active,True
L000090,B00518,2710739,0.0672,1,16-Nov-2023,Refinance,Active,True
L000091,B00848,468714,0.0856,7,08-Sep-2022,M&A,Active,True
L000092,B00621,769319,0.0494,3,06/11/2023,Refinance,Active,False
L000093,B00152,149065,0.0427,5,03/15/2022,Working capital,Active,True
L000094,B00784,287472,0.048,5,12/04/2024,Working capital,Paid,False
L000095,B00025,723992,0.0573,5,17-Mar-2021,Refinance,Active,True
L000096,B00412,186824,0.0625,5,12/10/2022,Equipment purchase,Active,True
L000097,B00632,394998,0.0838,2,24-Feb-2021,Refinance,Active,True
L000098,B00759,183018,0.0789,7,08/23/2023,Expansion,Active,True
L000099,B00604,1006705,0.0736,10,01-Mar-2021,Project finance,Active,True
L000100,B00329,142504,0.0782,4,08-Feb-2023,M&A,Active,True
L000101,B00538,132180,0.044,5,11-May-2024,Expansion,Active,True
L000102,B00968,5443113,0.044,5,17-Jul-2022,Equipment purchase,Active,True
L000103,B00292,1421569,0.0532,2,16-May-2023,Equipment purchase,Default,False
L000104,B00266,151748,0.0636,10,2021-04-22,M&A,Paid,False
L000105,B00773,234369,0.0649,2,2021-09-18,Working capital,Active,False
L000106,B00289,109608,0.0606,10,15-Dec-2024,Equipment purchase,Paid,True
L000107,B00734,287605,0.0752,5,2021-08-14,Expansion,Past due,True
L000108,B00750,442066,0.0575,5,24-Feb-2023,Equipment purchase,Active,True
L000109,B00344,842479,0.0379,3,23-Dec-2021,Refinance,Active,True
L000110,B00723,2637830,0.0578,7,27-Apr-2023,Project finance,Active,True
L000111,B00650,930127,0.0735,5,19-Mar-2022,Project finance,Active,False
L000112,B00482,87640,0.0619,2,16-Dec-2022,Working capital,Past due,False
L000113,B00878,205912,0.0505,5,01/14/2022,M&A,Active,False
L000114,B00728,727064,0.0548,2,09-Dec-2024,Expansion,Active,True
L000115,B00496,80709,0.0754,4,27-May-2022,Refinance,Active,True
L000116,B00646,113674,0.0535,3,16-Sep-2023,Equipment purchase,Active,True
L000117,B00458,332046,0.0725,3,06-Feb-2024,Working capital,Active,True
L000118,B00408,218231,0.0928,5,20-Aug-2024,Equipment purchase,Active,False
L000119,B00221,1809653,0.0586,7,18-Jan-2024,Equipment purchase,Active,True
L000120,B00829,324857,0.0557,4,02-May-2024,Equipment purchase,Active,True
L000121,B00047,1959025,0.0613,3,19-Apr-2024,Project finance,Active,False
L000122,B00992,242077,0.0679,5,20-Mar-2023,Working capital,Paid,True
L000123,B00093,4213343,0.076,7,2023-06-25,Working capital,Active,True
L000124,B00371,3576203,0.0641,4,13-Sep-2022,Expansion,Paid,False
L000125,B00340,124045,0.0637,4,02-Jan-2022,M&A,Active,True
L000126,B00408,104175,0.0432,7,10-Mar-2021,Project finance,Active,True
L000127,B00279,239017,0.0678,5,11/13/2024,Project finance,Paid,True
L000128,B00883,430155,0.0683,1,24-Sep-2021,Working capital,Active,False
L000129,B00851,1199058,0.0563,4,24-Feb-2022,M&A,Paid,True
L000130,B00804,45044721,0.0622,3,2021-05-09,Project finance,Active,False
L000131,B00386,182793,0.0236,3,14-Apr-2021,Project finance,Active,True
L000132,B00251,515760,0.0325,3,13-Dec-2024,Project finance,Active,True
L000133,B00230,4363581,0.0418,5,25-Jul-2021,M&A,Active,False
L000134,B00319,1031872,0.0658,3,18-Feb-2021,Refinance,Active,True
L000135,B00086,449221,0.0478,2,24-Sep-2024,Working capital,Active,True
L000136,B00259,398636,0.0995,4,02-Mar-2023,Refinance,Paid,True
L000137,B00275,12220006,0.0463,5,16-Sep-2024,Equipment purchase,Active,True
L000138,B00495,1207610,0.0862,4,14-Feb-2021,Working capital,Active,False
L000139,B00767,1944115,0.0368,2,2022-08-28,Refinance,Active,False
L000140,B00642,1785958,0.0531,7,24-Mar-2024,Working capital,Active,False
L000141,B00446,374834,0.0544,10,11-Sep-2023,Project finance,Active,True
L000142,B00298,327159,0.0547,4,23-Oct-2022,Refinance,Active,True
L000143,B00959,4440145,0.06,3,17-Mar-2022,Equipment purchase,Active,True
L000144,B00154,752544,0.0686,4,23-May-2021,M&A,Active,False
L000145,B00097,279877,0.069,1,10/06/2024,Project finance,Active,False
L000146,B00232,2375622,0.08,3,09-Apr-2021,Refinance,Active,True
L000147,B00314,556311,0.0598,3,18-May-2024,Working capital,Active,True
L000148,B00106,399036,0.0561,5,09-Mar-2023,M&A,Active,False
L000149,B00785,985889,0.0724,3,28-Dec-2023,Expansion,Active,False
L000150,B00803,122858,0.0477,3,26-Feb-2022,Refinance,Paid,True
L000151,B00332,183225,0.0644,1,17-Mar-2021,Refinance,Active,True
L000152,B00513,192915,0.0758,7,13-Sep-2022,Refinance,Active,True
L000153,B00859,187065,0.0798,4,27-Oct-2021,Project finance,Paid,False
L000154,B00729,686782,0.0472,2,15-Sep-2024,Project finance,Active,True
L000155,B00922,336642,0.0569,4,01-Mar-2023,Project finance,Active,True
L000156,B00435,183035,0.0416,3,12-Jul-2022,Working capital,Active,False
L000157,B00370,194887,0.0551,4,10-Oct-2021,Equipment purchase,Active,True
L000158,B00014,2362319,0.0707,5,09-Nov-2021,Project finance,Active,True
L000159,B00281,128945,0.0542,5,16-Dec-2021,Refinance,Active,True
L000160,B00768,2834431,0.0625,7,01/12/2021,Project finance,Active,True
L000161,B00754,833456,0.0617,2,14-Feb-2022,Refinance,Active,True
L000162,B00064,34387,0.074,3,2023-04-21,Project finance,Paid,True
L000163,B00325,377666,0.0825,7,24-Oct-2022,Project finance,Active,False
L000164,B00858,96566,0.0686,5,07-Feb-2021,Project finance,Active,True
L000165,B00177,96090,0.0335,4,07-Oct-2023,Project finance,Active,True
L000166,B00858,152846,0.0513,10,18-May-2023,M&A,Paid,True
L000167,B00089,4019942,0.0777,5,04-Feb-2024,Working capital,Active,True
L000168,B00606,2455486,0.069,5,03/26/2021,Project finance,Active,True
L000169,B00084,359291,0.0408,7,27-May-2022,Expansion,Active,True
L000170,B00756,7191327,0.0788,2,23-Jul-2021,M&A,Active,True
L000171,B00232,876250,0.067,7,06-Apr-2023,Refinance,Active,True
L000172,B00502,1413669,0.0877,3,25-Jun-2023,Project finance,Active,True
L000173,B00175,292307,0.0614,1,18-Mar-2024,Refinance,Active,True
L000174,B00831,223735,0.0592,5,11-Apr-2023,Project finance,Active,True
L000175,B00093,16472428,0.0854,4,2022-05-07,Working capital,Active,True
L000176,B00647,57647,0.0673,2,19-Aug-2022,Project finance,Active,True
L000177,B00035,858222,0.0725,3,2021-11-12,Refinance,Active,True
L000178,B00345,55096,0.0478,5,12-Mar-2021,Expansion,Active,False
L000179,B00450,47169,0.054,7,19-Oct-2024,Refinance,Paid,False
L000180,B00259,201985,0.0629,5,2023-08-22,Expansion,Active,True
L000181,B00923,841972,0.0856,10,14-Jul-2021,Refinance,Active,True
L000182,B00168,1435450,0.0731,4,23-Oct-2023,M&A,Active,True
L000183,B00134,2520097,0.0444,5,10-Feb-2021,Equipment purchase,Active,True
L000184,B00170,2630344,0.0451,4,2022-04-06,Expansion,Paid,False
L000185,B00448,37045,0.0685,1,22-Mar-2022,Working capital,Active,True
L000186,B00353,449786,0.055,1,07-Dec-2024,Refinance,Active,True
L000187,B00782,1474197,0.046,10,11-Mar-2024,Equipment purchase,Paid,True
L000188,B00840,123742,0.0783,5,13-Oct-2024,Project finance,Active,True
L000189,B00601,189669,0.0789,1,12-Apr-2022,Working capital,Active,True
L000190,B00770,749330,0.0698,3,11/08/2021,Expansion,Active,False
L000191,B00310,792563,0.0624,4,21-Jul-2023,Equipment purchase,Active,True
L000192,B00841,407983,0.0722,4,06-Jul-2023,Working capital,Active,True
L000193,B00085,110002,0.0674,3,28-Nov-2021,Expansion,Active,True
L000194,B00589,212537,0.0553,4,16-Jan-2024,Refinance,Active,False
L000195,B00311,563515,0.0505,4,26-Oct-2021,Equipment purchase,Active,True
L000196,B00730,4657373,0.0657,3,26-Feb-2023,Refinance,Paid,False
L000197,B00082,202024,0.0708,2,19-Dec-2023,M&A,Active,True
L000198,B00466,1043564,0.0741,4,05/02/2024,Refinance,Active,True
L000199,B00052,1596283,0.0626,7,14-May-2023,Working capital,Active,True
L000200,B00184,62611,0.0565,3,15-Jan-2024,M&A,Active,False
L000201,B00750,211826,0.0754,1,04/06/2024,Working capital,Active,False
L000202,B00149,82130,0.0753,5,12-May-2024,Expansion,Paid,True
L000203,B00926,468673,0.065,7,2024-01-03,M&A,Past due,False
L000204,B00654,228865,0.0832,7,2021-07-17,Project finance,Active,False
L000205,B00433,454817,0.0643,4,09-Dec-2022,Working capital,Paid,True
L000206,B00444,217714,0.0372,10,09-Oct-2022,M&A,Paid,True
L000207,B00250,6634547,0.0631,5,19-Jun-2021,Refinance,Active,True
L000208,B00706,918391,0.038,7,09/22/2023,Refinance,Paid,False
L000209,B00695,322027,0.0664,3,07/07/2021,Refinance,Active,True
L000210,B00282,156789,0.0617,3,08-Feb-2023,Expansion,Active,True
L000211,B00295,407350,0.0476,5,14-Oct-2024,Refinance,Active,True
L000212,B00572,53336,0.056,1,12-Jun-2023,Project finance,Active,True
L000213,B00546,226447,0.0552,5,05/13/2024,M&A,Past due,False
L000214,B00647,108607,0.0722,4,07-Feb-2023,Equipment purchase,Active,False
L000215,B00323,16645125,0.0723,4,05-Jan-2024,Equipment purchase,Active,True
L000216,B00426,976935,0.0629,10,18-May-2021,Refinance,Default,False
L000217,B00135,210451,0.0494,3,13-Feb-2021,M&A,Active,False
L000218,B00886,253874,0.0586,2,14-Sep-2024,M&A,Active,True
L000219,B00789,1858790,0.0541,3,22-Nov-2021,Equipment purchase,Active,False
L000220,B00546,139880,0.0613,3,25-Aug-2024,Refinance,Active,False
L000221,B00895,72090,0.0551,2,18-Jan-2023,Project finance,Active,False
L000222,B00930,146821,0.0578,1,2024-07-14,Expansion,Active,True
L000223,B00635,1555171,0.033,4,19-Oct-2021,Equipment purchase,Active,False
L000224,B00171,558378,0.0763,5,2024-11-03,M&A,Paid,True
L000225,B00670,416835,0.0589,3,15-Mar-2022,Expansion,Active,True
L000226,B00730,9079779,0.0487,10,03/10/2023,Working capital,Active,True
L000227,B00473,643167,0.046,4,26-Apr-2024,Project finance,Active,True
L000228,B00619,3346037,0.0792,7,2022-04-15,Project finance,Active,True
L000229,B00694,2143446,0.0638,4,03-Jul-2024,Project finance,Active,True
L000230,B00733,136814,0.0553,7,2021-08-16,Refinance,Paid,True
L000231,B00743,42075,0.0556,7,23-Jul-2023,Refinance,Active,False
L000232,B00128,728662,0.0396,2,25-Oct-2023,Equipment purchase,Active,True
L000233,B00348,65439,0.0478,2,07-Aug-2022,Project finance,Active,True
L000234,B00921,26001424,0.066,5,11-May-2022,Refinance,Active,False
L000235,B00582,494718,0.0644,3,2021-03-05,Equipment purchase,Active,True
L000236,B00731,443194,0.0762,3,21-Oct-2022,Project finance,Active,False
L000237,B00762,412889,0.052,7,20-Mar-2022,Project finance,Active,True
L000238,B00872,119519,0.0864,3,03/19/2023,Equipment purchase,Active,True
L000239,B00764,5573235,0.0267,7,20-Aug-2024,Project finance,Active,False
L000240,B00874,76635,0.0662,4,28-Jul-2023,M&A,Active,False
L000241,B00496,211461,0.0435,7,03-Nov-2021,Expansion,Active,False
L000242,B00624,2038312,0.054,7,07-Nov-2021,Project finance,Paid,False
L000243,B00861,68097,0.0802,5,2022-12-07,Project finance,Active,True
L000244,B00338,137153,0.0746,4,18-Sep-2023,Working capital,Past due,True
L000245,B00058,219733,0.0526,4,09-Apr-2022,Project finance,Paid,True
L000246,B00234,8516945,0.0708,5,02-Mar-2024,Equipment purchase,Active,False
L000247,B00195,237142,0.0748,5,17-Mar-2021,Expansion,Active,True
L000248,B00596,139528,0.0809,4,09/26/2021,Project finance,Active,True
L000249,B00490,504756,0.071,2,08/07/2021,M&A,Active,False
L000250,B00499,325750,0.0674,3,14-Oct-2021,Refinance,Active,True
L000251,B00200,327041,0.0459,5,09-Jan-2024,Refinance,Active,True
L000252,B00768,2781364,0.0677,4,10-Nov-2023,Equipment purchase,Active,False
L000253,B00575,88476,0.0556,4,25-Feb-2024,Equipment purchase,Paid,False
L000254,B00522,381678,0.0813,4,03-Mar-2022,Working capital,Default,True
L000255,B00454,692685,0.0381,3,04/25/2022,Expansion,Active,True
L000256,B00514,792952,0.0554,3,22-Feb-2024,M&A,Active,True
L000257,B00332,396551,0.06,2,28-Mar-2024,Equipment purchase,Past due,True
L000258,B00486,372073,0.0478,5,09-Dec-2024,Equipment purchase,Active,False
L000259,B00314,296552,0.0644,3,11-Dec-2023,Refinance,Active,True
L000260,B00006,97880,0.0504,7,14-Jan-2024,Refinance,Active,True
L000261,B00020,339286,0.0537,7,22-Apr-2022,Equipment purchase,Active,False
L000262,B00438,2420801,0.0546,7,18-Sep-2023,M&A,Active,True
L000263,B00877,531518,0.0426,3,06-Apr-2021,Project finance,Active,True
L000264,B00975,338376,0.0634,10,13-Nov-2021,Refinance,Active,True
L000265,B00622,35814,0.0757,5,02-Feb-2021,Equipment purchase,Active,False
L000266,B00292,1874666,0.0864,2,03-Dec-2022,Refinance,Paid,False
L000267,B00895,86687,0.0325,2,07-Oct-2023,Equipment purchase,Active,False
L000268,B00782,1056481,0.0552,5,12/01/2023,Working capital,Paid,False
L000269,B00717,246621,0.0843,5,25-Jun-2023,Expansion,Active,True
L000270,B00234,9472647,0.0566,4,22-Apr-2023,M&A,Active,False
L000271,B00024,20066,0.0731,2,13-Jul-2024,M&A,Active,False
L000272,B00525,811886,0.0774,3,17-Jan-2024,M&A,Active,True
L000273,B00589,311159,0.0644,3,03-Dec-2021,Working capital,Active,True
L000274,B00818,10360257,0.0613,4,15-Oct-2021,Working capital,Active,True
L000275,B00442,196445,0.0648,7,24-Aug-2024,Expansion,Active,False
L000276,B00348,104868,0.0524,4,2024-01-13,Refinance,Active,False
L000277,B00231,638000,0.0731,3,28-May-2022,Equipment purchase,Active,True
L000278,B00670,5561630,0.0447,5,28-Dec-2023,Expansion,Active,True
L000279,B00186,952744,0.0801,2,2021-03-18,Equipment purchase,Default,True
L000280,B00674,190856,0.0809,3,14-Mar-2023,Expansion,Active,True
L000281,B00028,72022,0.061,2,2024-02-27,Project finance,Paid,False
L000282,B00214,250184,0.032,3,13-Aug-2024,M&A,Paid,False
L000283,B00096,131919,0.0813,10,25-Mar-2021,Project finance,Active,False
L000284,B00768,1261384,0.0484,10,07-Apr-2024,Equipment purchase,Active,True
L000285,B00521,4157938,0.0488,2,01-Jan-2024,Working capital,Active,True
L000286,B00969,14712087,0.088,3,28-Jul-2021,Project finance,Active,True
L000287,B00660,27990,0.0678,7,09-Jan-2024,Working capital,Active,True
L000288,B00255,21669,0.0396,2,17-Mar-2021,Working capital,Active,True
L000289,B00822,614073,0.0458,3,20-Jun-2023,Expansion,Active,True
L000290,B00532,1339741,0.0605,10,2022-06-04,Expansion,Active,True
L000291,B00641,367743,0.0699,3,10/11/2023,Working capital,Active,True
L000292,B00911,579793,0.0606,4,02-Jul-2022,Project finance,Active,False
L000293,B00162,335348,0.0658,2,2023-04-03,Refinance,Active,True
L000294,B00426,116034,0.0449,7,28-Mar-2024,Equipment purchase,Active,True
L000295,B00922,624430,0.0755,10,22-Jun-2022,Project finance,Active,True
L000296,B00490,259064,0.0669,4,08-Mar-2022,Expansion,Active,True
L000297,B00085,207615,0.0662,5,05/20/2024,Expansion,Active,False
L000298,B00748,440093,0.0578,5,15-Dec-2023,M&A,Past due,True
L000299,B00274,429034,0.0825,7,14-Jun-2022,Project finance,Default,True
L000300,B00036,298841,0.0389,5,02-Nov-2024,Working capital,Active,True
L000301,B00035,9541965,0.0646,7,13-Mar-2022,Refinance,Paid,True
L000302,B00193,113491,0.0696,5,07-Aug-2024,Refinance,Active,False
L000303,B00287,35074261,0.0735,5,06-Jun-2023,Refinance,Active,False
L000304,B00468,1167843,0.0769,5,09/09/2023,Equipment purchase,Active,False
L000305,B00027,107878,0.0761,10,08-Feb-2022,Working capital,Active,False
L000306,B00303,1534309,0.0629,2,15-May-2023,Working capital,Past due,True
L000307,B00996,498545,0.0513,4,09/07/2024,Project finance,Active,True
L000308,B00018,2164590,0.0653,2,20-Sep-2023,M&A,Active,True
L000309,B00820,156285,0.0614,4,17-Dec-2022,Project finance,Active,False
L000310,B00650,301587,0.0828,7,05-Dec-2022,Refinance,Paid,False
L000311,B00286,85472,0.0663,1,13-May-2024,Refinance,Active,True
L000312,B00140,2335491,0.0715,5,03-Jan-2023,Equipment purchase,Active,True
L000313,B00752,6684198,0.0852,5,25-Jan-2021,Expansion,Active,False
L000314,B00827,180227,0.0622,10,26-Jul-2022,M&A,Active,True
L000315,B00855,1662710,0.0699,3,05-May-2022,Project finance,Active,False
L000316,B00689,60160,0.0497,2,22-Mar-2024,Project finance,Active,False
L000317,B00319,2074098,0.0569,4,22-Apr-2024,M&A,Active,False
L000318,B00466,2838784,0.0756,2,02-May-2023,Working capital,Active,False
L000319,B00437,1956330,0.069,5,2024-05-08,Project finance,Active,True
L000320,B00614,2474197,0.0753,7,16-Nov-2022,Refinance,Active,True
L000321,B00108,34141,0.0572,7,24-Dec-2023,M&A,Active,True
L000322,B00683,405157,0.046,7,02/01/2023,Refinance,Active,True
L000323,B00507,411472,0.0503,3,11/09/2024,Project finance,Active,False
L000324,B00622,125334,0.0761,7,17-Oct-2024,Working capital,Active,False
L000325,B00605,34926,0.055,7,10/04/2021,Expansion,Active,True
L000326,B00689,576910,0.0539,5,23-Jul-2024,Refinance,Paid,True
L000327,B00588,581495,0.0463,7,27-Jul-2021,Refinance,Active,True
L000328,B00027,15048,0.0726,3,2022-01-21,Refinance,Paid,True
L000329,B00747,823868,0.0479,4,27-Jun-2023,Expansion,Active,False
L000330,B00803,136782,0.0663,1,21-Dec-2024,Expansion,Active,False
L000331,B00885,419805,0.0778,4,13-Dec-2023,Expansion,Paid,True
L000332,B00878,1028715,0.0896,1,18-Oct-2023,Expansion,Active,False
L000333,B00314,174549,0.0623,2,13-Nov-2021,Expansion,Active,False
L000334,B00208,1515896,0.0551,3,11-Jun-2024,Expansion,Past due,False
L000335,B00331,1584775,0.0672,1,10-Oct-2022,M&A,Active,True
L000336,B00574,143933,0.0551,4,10/23/2024,Working capital,Active,True
L000337,B00613,318643,0.0515,10,05-May-2024,Refinance,Active,False
L000338,B00395,874186,0.059,2,19-Oct-2023,Expansion,Active,True
L000339,B00042,530443,0.0906,3,11/09/2022,Expansion,Paid,True
L000340,B00225,2240676,0.053,3,21-Aug-2022,Equipment purchase,Active,False
L000341,B00022,6575437,0.0293,7,14-Aug-2024,Expansion,Active,True
L000342,B00869,76620,0.0542,4,19-Nov-2024,Project finance,Active,True
L000343,B00816,327388,0.0639,10,12-Jul-2023,Expansion,Active,False
L000344,B00366,17544471,0.059,1,28-Jun-2022,M&A,Active,False
L000345,B00099,3879522,0.068,10,09/11/2024,M&A,Active,True
L000346,B00357,220419,0.0682,5,2022-08-09,M&A,Active,False
L000347,B00606,2764403,0.0617,4,18-Jan-2022,Equipment purchase,Active,False
L000348,B00724,319997,0.0589,2,24-Feb-2023,Project finance,Active,True
L000349,B00613,984446,0.0621,4,07-Jul-2022,Project finance,Active,True
L000350,B00339,23916,0.0721,3,25-Mar-2024,Equipment purchase,Paid,True
L000351,B00995,86864,0.0565,5,2023-10-04,Working capital,Active,True
L000352,B00748,919420,0.0479,2,20-Apr-2022,Expansion,Active,False
L000353,B00952,81523,0.0667,4,06/03/2021,Refinance,Active,True
L000354,B00972,174405,0.0461,5,23-Jul-2024,Expansion,Active,True
L000355,B00364,513412,0.0663,2,05/16/2024,Equipment purchase,Active,False
L000356,B00233,660529,0.0466,3,15-Jun-2021,Working capital,Paid,True
L000357,B00063,4209953,0.0686,10,11/12/2021,Working capital,Past due,True
L000358,B00542,1133799,0.0415,1,07/10/2023,M&A,Active,False
L000359,B00880,212273,0.0535,1,21-Apr-2022,Expansion,Past due,True
L000360,B00100,10641456,0.0616,7,12-Oct-2022,Project finance,Paid,False
L000361,B00791,127558,0.0802,2,01-Aug-2022,Working capital,Paid,True
L000362,B00320,150380,0.0666,10,22-Jun-2021,Working capital,Active,False
L000363,B00618,806077,0.0972,2,22-Aug-2023,Refinance,Default,True
L000364,B00685,2250462,0.0484,5,04/12/2023,Refinance,Active,True
L000365,B00414,107359,0.0446,1,26-Aug-2021,M&A,Active,True
L000366,B00533,88588,0.0663,1,19-Sep-2023,Refinance,Active,False
L000367,B00659,238005,0.0414,3,15-Mar-2023,Project finance,Active,True
L000368,B00446,197477,0.0741,3,01/16/2024,M&A,Active,True
L000369,B00399,839769,0.0484,3,11/23/2023,Working capital,Active,True
L000370,B00092,357587,0.0415,3,11-Nov-2022,Working capital,Past due,True
L000371,B00395,1256331,0.0428,2,28-Nov-2021,Expansion,Active,True
L000372,B00698,214215,0.0886,5,15-Feb-2022,Project finance,Active,True
L000373,B00732,6561703,0.0558,3,2022-10-21,Refinance,Active,False
L000374,B00706,294204,0.0555,2,08-Jan-2023,Equipment purchase,Past due,True
