borrower_id,year,revenue,cogs,ebitda,ebit,interest_expense,total_debt,senior_debt,cash,equity,accounts_receivable,accounts_payable,inventory,capex,operating_cash_flow,FLAG_EMPTY_EBITDA,FLAG_INTEREST_EXPENSE,FLAG_CAPEX
B00010,2023,129836089,45547509,83035900,80439179,12330835,162178059,137387741,2944765,232538400,8184139,13245049,9430408,8858585,70974528,0,1,0
B00010,2024,143251863,47063411,90563294,87698257,0,0,0,686621,207410427,12662433,8676085,8261249,4330332,107860740,0,0,0
B00011,2022,331399446,180019498,139917280,133289292,2923351,49470119,25060006,45628920,740746538,81593103,9901733,53269584,11240792,114954870,0,1,0
B00011,2023,388494920,204680582,NULL,150983310,10211882,172809562,135269391,18429533,395176365,45703312,27482019,13114318,13169978,113271704,1,0,1
B00011,2024,386023334,207115451,169331375,161610909,15801930,267406594,125387351,5971151,673119727,94898161,37900711,30308880,13086191,171082896,0,0,1
B00012,2022,62416447,38300000,20696215,19447887,4966238,60051241,30454997,0,124795240,4962827,6449277,15541097,1848019,26277886,0,0,0
B00012,2023,55440780,34922764,19935725,18826910,2504447,30283515,15411144,6436837,128713216,10679715,6848942,15929499,3772148,23393001,0,0,0
B00012,2024,63941001,38256971,22279707,21000887,3980859,48136142,26939832,11885151,34027802,10268881,4647433,5924100,2425095,27368239,0,0,0
B00013,2022,801894539,400914450,347602596,331564706,27864613,670508542,346032320,94811473,965821948,177255638,37851927,116039177,28015152,243093721,0,0,0
B00013,2023,833354203,408930060,390246405,373579321,19064020,458739123,275345595,23788213,1683098216,146064381,65980975,37345533,44451509,285257525,0,0,0
B00013,2024,770310823,387746464,352391405,336985189,18147695,436689518,183627049,78507410,1713698740,48833664,103481121,87754282,27405823,364456547,0,0,0
B00014,2022,2419172655,1526504083,721311211,672927758,119012992,1691708021,1479683132,107290898,546268652,218422323,455573710,414859974,121202050,528819323,0,0,0
B00014,2023,2421109978,1468226254,860602693,812180494,57269041,814049750,699928808,266906646,2583768919,561299007,363168682,569332351,188763824,768481598,0,0,0
B00014,2024,2714039793,1666530528,925256519,870975724,137975492,1961250131,859237102,364836738,4617297952,421520536,160062116,744962319,92351722,841968549,0,0,0
B00015,2022,315639162,156816943,148139207,141826424,10918170,246459819,211866375,0,455388967,60325180,21863304,60881646,16865488,143374340,0,1,0
B00015,2023,302044611,146722022,137043075,131002183,18281884,412683620,348591079,32130820,313794076,54229774,15824433,44209159,19655688,177282386,0,0,0
B00015,2024,318988228,158130049,140162366,133782602,6639585,149877766,111705038,17818414,451201808,34359260,40111839,28546082,25327363,175636921,0,0,0
B00016,2022,264496478,172340399,79166809,73876880,164669,101286758,54119112,0,651760815,58411214,48695869,69788969,11094139,60510944,0,0,0
B00016,2023,257398064,165316316,83142706,77994745,196419,163765134,146717025,28367657,404970921,38040145,35781420,35892380,19591579,96807965,0,0,0
B00016,2024,231707612,146953012,76857687,72223535,176039,105109541,82336112,0,546651686,31388495,35788818,38455168,7105540,91569179,0,0,0
B00017,2022,200891569,120346820,79894855,75877024,42566,42518067,20919523,12866244,481138782,39702947,28113170,9943579,14598974,76298650,0,0,0
B00017,2023,214411852,129063935,79485985,75197748,126857,47871773,20336234,0,492171839,27808895,26905714,56417623,16908182,79728854,0,0,0
B00017,2024,220765083,129308533,83270141,78854840,128808,133939590,57959970,10043682,237294108,11197489,26353967,31219841,4170573,69704942,0,0,0
B00018,2022,2389319982,1493351729,853107634,805321235,101725331,1478425006,1113425308,33919795,1195135988,424795107,252730279,738171263,143892382,960580997,0,0,0
B00018,2023,2469690563,1498800195,835307016,785913205,0,0,0,0,5758365589,365627849,390440377,395513367,148873735,726304104,0,0,0
B00018,2024,2615812020,1568039799,1015321566,963005326,170763085,2481785146,1132577148,83131290,3452671079,232477192,415944152,257254499,142143549,743673105,0,0,0
B00019,2022,855957952,564354909,257685041,240565882,346052,382559994,256433193,0,1307736634,145942771,118533072,97236044,32608337,162304193,0,0,0
B00019,2023,943476696,622090717,273867995,254998462,457964,348243925,146617030,30743032,822262592,159870987,142662261,156341235,67129870,277598265,0,0,0
B00019,2024,718763914,472057536,216536821,202161543,286225,640940967,381966821,33211541,809753100,129488681,85794830,103145725,56986628,182269524,0,0,0
B00020,2022,710948015,411772162,282641873,268422913,27839349,419815752,293317724,49291508,404429155,76693958,83859951,122419459,46144419,230462379,0,0,0
B00020,2023,620864626,383239201,215902339,203485047,48621241,733205461,337948735,20763569,839896184,117656564,26140049,181049812,26146401,291626418,0,0,0
B00020,2024,641539207,383810502,211167959,198337175,31789876,479389460,199987712,129673527,1092176822,54097582,108541291,137625667,38166689,165991576,0,0,0
B00021,2022,399532369,177428566,206838106,198847459,21232094,310841207,131861840,56525460,452385445,34672255,24803341,39479317,17277771,223433214,0,0,0
B00021,2023,386537997,174360703,207581928,199851169,10543417,154357289,103419504,43128198,621495902,30631764,45195379,42113288,9857801,138874990,0,0,0
B00021,2024,452656890,214822750,233206547,224153410,21619085,316506828,150838938,25040549,1116831033,81901554,35135821,96603084,26531841,204982438,0,0,0
B00022,2022,5045329759,1798670639,NULL,2781316805,206936709,7062686329,5454827017,53260416,6276703705,336475176,436825047,128636173,304001340,3829610712,1,0,0
B00022,2023,4745532548,1646657482,2779391405,2684480755,0,0,0,0,7801187122,932824527,244233748,616971813,155357332,3422187151,0,1,0
B00022,2024,4906130718,1653659803,3047162274,2949039660,93805849,3201564802,1737099089,547902416,11532840724,923187770,173923835,540067199,347967901,3525330638,0,1,0
B00023,2022,7492064685,4650904266,2664059017,2514217724,512038966,6160119349,2548351104,0,13494730821,1813734915,435310996,884066661,380604453,3159350310,0,0,0
B00023,2023,8879068490,5131685588,3713480292,3535898923,592883916,7132729982,5388858520,847728271,7439263307,808493093,723854957,1757963067,624353534,2620465739,0,0,0
B00023,2024,8913773630,5427015774,3432182371,3253906899,879645599,10582635762,5195442895,707517843,5259552536,1983849519,947215645,871968102,547305701,4508172002,0,0,1
B00024,2022,85592521,31438403,53845335,52133485,9693658,130479852,74319078,19428,75860576,4988061,1828157,5514694,4034440,56273608,0,0,0
B00024,2023,61346628,21359875,NULL,38231591,53010,713526,334914,1785835,152710297,7073228,6068641,4838395,3061197,48835853,1,0,1
B00024,2024,58257987,20393834,35883784,34718625,457434,6157207,5018999,2379310,55145859,7795599,4499269,4262908,3146332,46944105,0,0,0
B00025,2022,220126553,106724673,111737998,107335467,7092329,123845180,75334866,0,111364058,18202522,14485996,32329981,11333540,110505042,0,0,0
B00025,2023,250154172,128425888,108503028,103499945,7472864,130490031,86787273,0,614923878,31006879,26513455,34746649,5002578,69923137,0,0,0
B00025,2024,247919963,118927995,117717000,112758601,5807171,101403952,57792277,11819056,382870372,28687682,6744762,29724871,4317140,128938728,0,0,0
B00026,2022,238033790,139912932,93295811,88535136,64475,0,0,18267657,585785651,13894641,41590707,10002147,7184788,92824917,0,0,0
B00026,2023,276535180,155993778,NULL,109372474,223027,262248133,195117982,1150010,234487423,25457564,13114291,9519290,20878629,153605727,1,0,0
B00026,2024,274182930,162396256,109993088,104509430,125814,189087785,115908262,20829838,174766862,25854886,26106822,64260231,7822730,93343822,0,0,0
B00027,2022,87191903,41236079,42444120,40700282,3003848,49129800,42239966,2073034,76219440,9989269,2741589,13474769,4132896,37450073,0,0,1
B00027,2023,94358009,49425049,44072901,42185741,1824917,29847647,22620696,17766777,34868358,14383830,12637293,23529272,1648223,48697566,0,0,0
B00027,2024,124792838,64174777,54013242,51517386,5305188,86769641,44018325,19411519,80890578,8263390,15972224,12579998,8733978,58693613,0,0,0
B00028,2022,108486204,55552583,NULL,49205582,5299669,92527381,65790877,2153051,31037203,23214247,4250296,12869499,5423006,31139651,1,0,0
B00028,2023,128729017,73454772,53397807,50823227,5763149,100619326,53113537,5525275,283703818,26246971,18775813,35811560,4776918,45266614,0,0,0
B00028,2024,121527837,64463858,53243558,50813002,6605257,115321755,60861219,0,228004338,30281428,16068969,13139407,8876567,34126127,0,0,0
B00029,2022,10820705549,3908629071,6839975463,6623561353,5649868,6196413140,4211544597,861622052,17809483589,2564149703,446310804,1270547634,546445630,5291039381,0,0,1
B00029,2023,11421989348,3909828456,6711017673,6482577887,6115280,10647706042,7201408472,0,26015865775,1399776584,317684138,448884125,826495526,9331042153,0,0,0
B00029,2024,14233818520,4870247395,NULL,8739961897,0,19099978358,13488432488,577222488,33983936594,3039711324,1301539725,1430636250,468424484,10481113882,1,1,0
B00030,2022,634635600,413699726,191122806,178430094,44360767,741818846,339956424,105938511,958915882,53108097,89329578,100621205,44053357,233669149,0,0,0
B00030,2023,726004188,486932207,212645536,198125453,27698259,463181593,337078001,0,778095750,171202084,54713074,93718626,56202056,265407781,0,0,0
B00030,2024,548804463,364652362,154724772,143748683,41097448,687248288,521594415,104854139,371275760,44894963,77662986,65914799,42903620,148722916,0,0,0
B00031,2022,5037193329,2456557421,2329255623,2228511757,296814584,4000994962,2423463816,227453959,5031489519,699675182,130268602,269965078,349970205,3220027096,0,0,0
B00031,2023,5264693795,2536239941,2616811014,2511517139,307623318,4146694307,2474524632,232087052,10472389052,846533337,537329139,499814419,112125944,1597545697,0,0,0
B00031,2024,5012075942,2541300901,2083153266,1982911748,158285382,2133651948,1708461274,0,7212429546,551488616,296814108,375925267,339122529,2219575391,0,0,0
B00032,2022,755797622,451339259,251773535,236657583,27649882,558668103,298327377,70337397,365244937,95554614,116596233,93211717,9370242,206309352,0,0,0
B00032,2023,795733060,481415403,302401284,286486623,25712777,519528754,298376917,88585685,650871929,59079498,91328391,62307453,41955283,245192148,0,0,0
B00032,2024,841656240,497079471,332114372,315281248,43276058,874396259,456755959,156029316,1893363240,60579381,29758602,159670784,15687211,333413819,0,0,0
B00033,2022,395597994,266509088,105447041,97535082,14840373,195011476,111402597,0,946298465,38952179,44741303,125828458,25809859,144632446,0,0,0
B00033,2023,330993751,221922461,93076271,86456396,23686246,311251592,150143535,35092207,735329916,80227904,58653972,17090206,18706423,114277735,0,0,0
B00033,2024,395978743,257137697,111229739,103310165,21329333,280280324,156601970,13808946,624008788,50676944,38720196,97611788,13979340,128410294,0,0,0
B00034,2022,1113649193,516679100,587496888,565223905,62360165,1150556542,807284362,141784062,1282165200,138828617,98761150,40645282,79411416,740394195,0,0,0
B00034,2023,1258541978,533759070,670980137,645809298,48174983,888837319,685495902,66503593,2810486585,201796957,108920587,244695270,75607217,776119868,0,0,0
B00034,2024,1168594305,554222044,613825632,590453746,54633246,1007993463,471511563,123924145,2429840482,230445480,134458728,85346545,85589084,416066417,0,0,0
B00035,2022,803344755,271036446,NULL,508742784,13295741,207209119,82901831,114287132,461115153,181976590,28641370,27323089,46396407,499915412,1,0,0
B00035,2023,866050420,306105864,548046038,530725030,52505360,818276303,534148651,0,255076466,129156590,16286234,146254483,56958278,413011780,0,0,0
B00035,2024,1009169975,366564742,604085628,583902229,67237189,1047866314,787866322,40765885,255010327,109876385,69463314,171104474,17299285,652974296,0,0,0
B00036,2022,695238368,340947488,315813261,301908494,2576341,46652982,26003357,106471964,1714913384,99577897,80961329,44267117,7607206,294985406,0,0,0
B00036,2023,723072753,384309038,288508393,274046938,39167826,709260210,393995044,28582949,593057100,50276850,95434480,161905999,8916097,255882848,0,1,0
B00036,2024,812358324,417624963,331967060,315719894,5573814,100931939,40546688,21394246,779389860,102109387,119557416,59608284,29859164,205860510,0,0,0
B00037,2022,448708204,155123738,NULL,263004555,133897,247918682,115696516,0,629852395,88361597,29215336,24873906,15599663,302129787,1,0,0
B00037,2023,405874884,143157209,246913800,238796303,0,440158221,211797362,32147479,464461375,51620907,32243619,7794549,13664292,207930202,0,1,0
B00037,2024,405375332,142251043,243066337,234958831,332223,23112695,16069214,1153440,222489530,40229834,17554211,46026608,14645338,244190917,0,0,0
B00038,2022,527306355,285572854,200649084,190102957,0,0,0,25790925,1187732176,52354590,18844802,83313472,36496441,185662211,0,0,0
B00038,2023,577855344,322223961,238955458,227398352,5697793,85303013,56893369,32457560,1345413931,54319555,41102634,26393707,25999767,310436341,0,0,0
B00038,2024,609076620,326879051,249365749,237184217,22939929,343439160,165541409,3319055,606664229,130339936,47728213,106053264,27500542,292961523,0,0,0
B00039,2022,955483372,435524870,467193396,448083729,0,0,0,0,2113485080,158851411,78889240,181788785,59673245,429939463,0,0,0
B00039,2023,995008193,445776433,517789720,497889557,60212920,1056589934,893698652,97238530,1009072654,193931475,55831994,22522252,36399506,616279750,0,0,0
B00039,2024,1021426244,459867773,536827154,516398630,46706176,819579515,455155212,59129450,1568385024,245878413,97777471,162287790,23007621,533653293,0,0,0
B00040,2022,221671310,132272082,NULL,82747501,195148,203140360,139390294,12194279,79837920,35594622,25652150,19371636,9525667,84352185,1,0,0
B00040,2023,191132951,117138351,73782428,69959769,57730,150623291,93871844,0,217117972,46329962,21150187,35016110,14509298,98641034,0,0,0
B00040,2024,175657707,109048100,65036943,61523789,123089,124790887,51007997,21314910,428523945,25371883,16182626,24833188,6971953,51622720,0,0,0
B00041,2022,568828732,256694823,311411030,300034456,31509258,403447600,184392964,0,283854636,107407098,71711591,96659760,8659238,287219527,0,0,0
B00041,2023,586108093,262644964,277956741,266234580,22635337,289825053,131049477,46135816,1357338358,34221446,39106660,130946043,35920828,378729989,0,0,0
B00041,2024,554955779,246202722,270615961,259516846,17765336,227469089,173375127,106175,321528791,85933130,28880189,104177752,5805652,210672351,0,0,0
B00042,2022,158010100,73172703,82192567,79032365,9321395,117616972,84666698,17519585,377511012,38945077,15611299,20846950,8304126,74462764,0,0,0
B00042,2023,157667387,78534074,70951974,67798627,249652,3150097,1598431,0,99664084,22743110,21374395,20476775,6144205,75384764,0,0,0
B00042,2024,172943930,84452813,79501632,76042754,10162038,128224161,96000631,0,302566594,17461035,20683511,13949843,3549122,69949272,0,0,0
B00043,2022,125813842,71092979,50334605,47818329,84858,53715431,27618068,0,129701738,6843532,20506225,16859742,8205692,35944683,0,0,0
B00043,2023,134568052,74647607,53180640,50489279,94946,95924435,46388919,25528539,211439221,29902122,7757591,9632506,3732446,69838945,0,0,0
B00043,2024,131242733,72410741,50537330,47912476,96191,209741760,148529429,6817937,77656432,24579424,11809306,20479342,1590945,61233318,0,0,0
B00044,2022,533333308,321454233,NULL,193066726,841994,15810628,12584265,77888923,681078975,99222705,66012987,117665600,34648057,205805520,1,0,0
B00044,2023,548566050,342651329,192708854,181737533,13120325,246368371,166494225,21100448,762360576,119479178,79610370,74085340,30577229,204565984,0,0,0
B00044,2024,514948291,305809013,190048062,179749097,4535065,85157697,40455605,8231808,171917995,115667949,37380826,55242646,12583260,186307516,0,0,0
B00045,2022,83392138,39221505,41008475,39340633,4104973,90817995,59136223,0,54184985,16345042,9819623,13412064,2724648,55010162,0,0,0
B00045,2023,68971395,30736893,38114123,36734696,876996,19402570,15967653,0,113177521,16156067,2945311,12643889,2990772,47246648,0,0,0
B00045,2024,65510360,27385906,37253923,35943716,2493152,55158222,30895546,4443214,82524757,6281141,2625003,10955747,1575294,45995725,0,0,0
B00046,2022,1957855247,1324835372,609146220,569989116,896406,226045860,117860115,93516195,4771206963,157025127,306726135,351224771,122174310,687659437,0,0,0
B00046,2023,1551324806,983415362,480712814,449686318,685705,1635771184,1298615416,149011869,1626163872,141195799,223830204,89596173,120907087,664825019,0,0,0
B00046,2024,1928729446,1271476356,508530016,469955428,1122867,0,0,0,1178611546,236587012,156171450,407750490,41260734,528342856,0,0,0
B00047,2022,3776938140,1859503952,1774971345,1699432583,56199195,916789473,641505866,163368251,3196895067,405843961,128662210,352575035,171727566,1895186750,0,0,0
B00047,2023,3977683946,1955909332,1748174732,1668621054,56183992,916541464,748262926,0,5843867686,950683899,351021971,830010619,250563236,1773811066,0,0,0
B00047,2024,3860771342,1866881924,1813135433,1735920007,214857317,3505013328,2644725967,942523205,4412695764,270074176,461450984,668686957,295382371,1709737651,0,0,0
B00048,2022,277287507,139501707,133319509,127773759,8602508,131881902,92033356,20580139,115145024,25082361,17783057,53480164,3252584,176314227,0,0,0
B00048,2023,279421953,137004046,129688997,124100558,10125677,155233047,73061595,15307158,665439884,30197740,22410990,49651791,19066058,121529700,0,0,0
B00048,2024,321823467,156292793,144062769,137626300,10606112,162598411,136600195,609,790149956,41373615,42449762,43659530,19370893,91666727,0,0,0
B00049,2022,170750540,95248878,74806062,71391052,5874270,120621557,104711063,22286608,352388948,13873144,14024408,33415063,12923838,103993344,0,0,0
B00049,2023,184468253,106012723,78339325,74649960,8703356,178713679,96827341,18739972,448361493,21816492,26411840,45923530,9891580,68787685,0,0,0
B00049,2024,197902968,113038133,74884036,70925977,11922458,244814327,201611721,26786710,116997757,24432860,22212041,20063984,15529588,60695024,0,0,0
B00050,2022,1032463189,509092506,464471316,443822053,10934216,355007003,154641067,52961832,2313305967,209760496,50519944,167598643,67758049,609234258,0,0,0
B00050,2023,1180926646,589124001,499266467,475647935,23021421,747448743,664866629,13971971,1165153360,97874969,71307982,226425918,51283726,449356313,0,1,0
B00050,2024,1144544078,552121267,514720513,491829632,50859685,1651288461,775407770,0,2789791374,158698172,158453408,61062689,72913314,563161087,0,0,0
B00051,2022,5270552010,3172489357,1787277886,1681866846,194505333,3958227946,2997533311,353514265,7409048499,551106921,836341648,844707694,281708769,1185646602,0,0,0
B00051,2023,6645432737,3984183665,2344480139,2211571485,479894792,9765968595,4997379517,777494498,4755728229,1158600117,786614923,1939053844,94728842,1609481127,0,0,0
B00051,2024,6000041084,3958326066,1775647024,1655646203,0,0,0,273093237,13087508719,536083110,356662699,577639861,322511678,2217329782,0,0,0
B00052,2022,1347672395,684283698,632039192,605085745,63747550,1083923808,489874679,39583988,369865492,91204604,178879135,234745769,103827544,549265590,0,0,0
B00052,2023,1437810573,688172341,693564020,664807809,83818128,1425191467,817727734,97392981,3002617054,158277022,174704976,166173756,24110483,958733831,0,0,0
B00052,2024,1840216356,983907223,NULL,747942330,15629536,265754931,205631640,248120725,4051444013,234512379,210802340,384418180,42893258,679650926,1,0,0
B00053,2022,455433431,300122661,133776446,124667778,387180,307707025,251540361,0,408189969,98615137,73876940,17942342,12188235,138372191,0,0,0
B00053,2023,503512569,330819110,148061813,137991562,172174,608420271,299533575,2865405,906065933,43424093,24071543,53921894,15077727,165498654,0,0,0
B00053,2024,558188840,357503577,170379274,159215498,661958,748066489,307622507,0,1382744647,90150218,21020763,112788775,22659962,105503984,0,0,0
B00054,2022,597596177,320935709,237616438,225664515,22970088,480442360,276913767,57036708,1248309830,94393246,40462794,79198763,8727141,322190531,0,0,0
B00054,2023,718594408,404005662,286540483,272168595,37513296,784628091,320622963,92813014,217298176,173348783,63041011,72904022,33937414,355588530,0,0,0
B00054,2024,749124301,438944275,267372646,252390160,54624372,1142523342,535861108,37388416,216441329,57967449,53313968,71991350,39750239,257937476,0,0,0
B00055,2022,280374953,98123260,170401728,164794229,14904777,259229223,197121171,0,217917920,22827211,11727043,4984017,5159153,204595269,0,0,0
B00055,2023,304550893,104869286,189399858,183308841,18776951,326575456,184635825,36010397,331421409,18954022,15059732,15026793,23068052,219290844,0,0,0
B00055,2024,321183902,112119510,NULL,194525035,16496582,286914469,135597454,14105568,279872669,35604818,6448506,7436097,24633359,212377487,1,0,0
B00056,2022,140747675,82241154,57791403,54976450,3826617,66820867,51082314,5229466,86601979,8997950,12890364,5576520,10914963,63676554,0,0,0
B00056,2023,139985055,83202467,46783430,43983729,7810264,136383834,107352267,0,338043549,17938498,12493077,29087381,9331893,51507246,0,0,0
B00056,2024,169862923,99060456,65133971,61736713,353460,6172160,4568159,7521208,120490474,8535842,28077748,18594327,4036663,53052751,0,0,0
B00057,2022,265361925,89996504,165316950,160009712,7690125,134183124,72729176,0,68974933,60275410,24434478,12971377,5679025,171571586,0,0,0
B00057,2023,286944997,100799079,174787744,169048845,36831,642648,539239,0,306494203,22184689,5459264,39130089,7658464,105153292,0,0,0
B00057,2024,290835642,101307334,167681561,161864849,4706238,82118005,42723447,0,188310020,63473495,9379327,30679366,4482480,227982717,0,0,0
B00058,2022,827302581,557718717,246633556,230087505,27273557,645151288,288043104,80251506,196057639,69255099,44352128,209876217,40529948,251753839,0,0,0
B00058,2023,786884128,504260043,238715041,222977359,2533980,59940869,46158761,79608745,1046931381,178692076,54575378,127520056,13193319,207233901,0,0,0
B00058,2024,710957638,486351488,223422722,209203570,10862100,256941112,183915601,8296305,767587477,104097687,125981433,133546032,39582535,251444407,0,0,0
B00059,2022,611087372,364570613,232436778,220215031,52088513,645458645,447483104,41130808,645443677,40359700,51191629,48097939,47212853,272421824,0,0,0
B00059,2023,599706231,376859548,213625537,201631413,18771543,232608954,123249145,0,717751745,89473466,111835245,69439813,31825714,169107298,0,0,0
B00059,2024,544725742,312987723,216753817,205859303,0,0,0,40618157,1130373193,41209059,44447292,82857216,21938066,255884949,0,0,0
B00060,2022,72151250,36939892,33871635,32428610,4898385,87627641,76216975,401034,122487615,9574310,7086911,10880657,3675197,24301407,0,0,0
B00060,2023,67447155,34172433,32089258,30740315,1637837,29299409,24405908,4018849,88263657,8124429,5902647,4635781,2319479,37683841,0,0,0
B00060,2024,72966728,35707045,31953133,30493799,1279276,22885077,11967608,6073981,17538238,14156298,7301229,12942855,1824382,36742943,0,0,0
B00061,2022,65301341,44889374,18640195,17334169,5179671,97729641,47935390,2849702,94271164,9145837,7418199,11726088,4682304,23391617,0,0,0
B00061,2023,78382161,52246765,22359883,20792240,2240191,42267751,19861129,0,82152576,16816362,4109959,22258026,4292820,19534121,0,0,0
B00061,2024,88592280,56063444,26557949,24786104,801491,15122467,11770816,5957610,62174278,18568526,5464531,21002204,2951471,28323946,0,1,0
B00062,2022,358678201,125363445,214463830,207290266,130129,187287848,85274106,0,253186813,60622278,36877557,31608279,20839977,221227962,0,0,0
B00062,2023,337393873,118077906,215775799,209027922,320370,17105030,11359734,0,498522900,26393769,17335579,29653967,26640227,190133826,0,0,0
B00062,2024,284979840,96976999,181313930,175614334,191995,67985299,44346062,33782857,145969986,54554277,6553962,37885507,13758415,149235946,0,0,0
B00063,2022,7770258288,5177011603,2151034954,1995629789,335842026,4607905082,3396413202,666535250,16278053457,1133737321,881944310,1001206291,502407805,2471445858,0,0,0
B00063,2023,5943298233,3708046247,1778900172,1660034208,411155030,5641233691,4501808171,553683836,3869823152,1474116665,461576849,1257364324,268219622,1579060520,0,0,0
B00063,2024,6171706734,3909620187,1850764143,1727330009,254945022,3497961462,3119348622,389968299,4150309167,435493384,500988244,1753516085,287167268,1311303567,0,0,0
B00064,2022,191398199,108875382,72216295,68388332,13576019,165559356,138558590,25732487,258810979,22247223,32561130,22867640,7656346,90075513,0,0,0
B00064,2023,192276584,112709960,68267150,64421619,6540616,79762714,55315616,13329540,400997475,43469071,29579058,46826417,4381967,73394079,0,1,0
B00064,2024,250130226,153915000,80287480,75284876,5062224,61733742,27846956,11887611,569108199,44032246,17789388,27040583,13185274,74309914,0,0,0
B00065,2022,1813082428,898345259,798735421,762473773,717680,943560871,535262169,100216319,3261128792,377864795,87638229,340624861,139387635,1058683640,0,0,0
B00065,2023,2015690315,1035916791,843588441,803274635,1472138,170074167,122731811,77368480,3620715017,484612884,128274004,166641116,105070845,594425559,0,0,0
B00065,2024,1451388171,707789638,NULL,642367996,918754,2250546376,979111047,56385857,981127154,169921062,100612066,250732419,68260953,608074260,1,0,0
B00066,2022,270045916,162796449,101147353,95746435,23375610,363351986,301502126,17608797,639491990,42849259,14271478,72506920,3469291,126016426,0,0,0
B00066,2023,298718477,180752687,NULL,94086132,13665160,212412125,93298692,0,559850845,72824022,34776046,28165966,20618877,128325861,1,0,0
B00066,2024,303502008,186021626,101284144,95214104,11165085,173550797,150260291,16576064,721899934,68105387,20958221,81138963,13607413,108976086,0,0,0
