borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score
B00047,NULL,NULL,0.99130000,0.74933333,0.46910000,0.49030000,0.41943333,12.49500000,14.87700000,29.16600000,26.78400000,0.41263333,1.49676667,0.43966667,0.14903333,94188487.88125317,Active,626
B00048,NULL,1.6304,1.10496667,0.73396667,0.13363333,0.13963333,0.12600000,9.81600000,16.88100000,30.75300000,23.68800000,0.52816667,0.89453333,0.44416667,0.08486667,42930837.42343115,Paid,650
B00049,NULL,1.0600,2.38766667,1.77603333,0.52470000,0.55183333,0.46320000,9.69000000,17.78400000,28.84500000,20.75100000,0.94446667,0.49830000,0.39373333,0.13303333,23020549.162677832,Active,667
B00050,NULL,NULL,1.82316667,1.05703333,0.52650000,0.55123333,0.47536667,12.74400000,15.21600000,24.72300000,22.25100000,0.46230000,0.88610000,0.42080000,0.05596667,82295424.10183908,Active,665
B00051,NULL,0.9876,2.12673333,1.26960000,0.44183333,0.46913333,0.62145000,11.04600000,16.53300000,26.96700000,21.48000000,0.86256667,0.23215000,0.30926667,0.08445000,518569486.80355227,"Past due",598
B00052,NULL,1.4527,1.37506667,0.74300000,0.74030000,0.60633333,0.69280000,9.15600000,21.88800000,29.25900000,16.52700000,1.15693333,1.24560000,0.43926667,0.34613333,209185660.79550242,Paid,737
B00053,NULL,NULL,3.60000000,1.90293333,0.45466667,0.48763333,0.43653333,13.92600000,11.33400000,16.14900000,18.74100000,0.65543333,0.28756667,0.27766667,0.00156667,30043092.535817392,NULL,719
B00054,NULL,NULL,3.01110000,1.42950000,0.72330000,0.76260000,0.69553333,14.29800000,12.10800000,17.73900000,19.92900000,3.09146667,0.44986667,0.36443333,0.08990000,49631323.7135379,Default,784
B00055,NULL,0.1471,1.57350000,0.94290000,0.40156667,0.37433333,0.36656667,7.63500000,9.61800000,7.81200000,5.82900000,1.06673333,0.73363333,0.59846667,0.05316667,7352067.130968428,Active,727
B00056,NULL,NULL,1.38873333,1.08290000,0.29386667,0.31143333,0.25830000,7.26900000,17.70900000,18.15300000,7.71300000,0.40876667,3.30870000,0.35610000,0.43230000,6625026.202296587,Active,826
B00057,NULL,1.0394,0.43503333,0.23260000,1.71396667,1.77233333,1.69736667,15.67800000,12.54900000,25.05300000,28.18200000,0.79453333,55.89330000,0.58290000,0.00000000,61482616.95308713,Active,583
B00058,NULL,1.1284,1.33896667,0.72816667,0.63870000,0.68403333,0.60496667,13.71600000,13.40100000,27.11400000,27.42900000,1.22753333,1.60870000,0.28526667,0.49493333,25614740.119907863,Paid,779
B00059,NULL,2.1798,1.28860000,0.83403333,0.17673333,0.18666667,0.22620000,8.72700000,17.37600000,17.42700000,8.77800000,0.44136667,0.57455000,0.35816667,0.03185000,55494324.380138345,Active,754
B00060,NULL,0.4894,1.40546667,1.12843333,0.36270000,0.37906667,0.34460000,13.41600000,17.07000000,23.78400000,20.13000000,0.78410000,1.05633333,0.44106667,0.13573333,7469567.667654936,Paid,655
B00061,-4.947,NULL,2.56756667,1.30100000,0.52400000,0.56313333,0.45683333,16.92600000,10.24500000,31.85400000,38.53500000,0.59813333,0.85820000,0.27016667,0.14106667,4405851.568934243,Active,628
B00062,NULL,NULL,0.44253333,0.23160000,1.05340000,1.08866667,0.98366667,13.15800000,15.25800000,26.81700000,24.71700000,0.41323333,4.83066667,0.60453333,0.16563333,36107091.29295138,NULL,721
B00063,NULL,1.3263,2.40113333,1.93170000,0.55846667,0.59970000,0.49053333,13.93500000,12.69000000,29.43000000,30.67500000,0.86120000,0.39703333,0.27200000,0.11810000,607450342.6514175,"Past due",669
B00064,NULL,1.1029,1.40993333,1.02526667,0.54576667,0.57806667,0.52826667,15.54900000,20.31300000,24.03600000,19.27200000,0.31570000,0.88933333,0.33110000,0.17170000,9377838.28921838,Paid,667
B00065,NULL,NULL,1.62880000,0.77993333,0.76910000,0.56196667,0.68176667,16.97700000,10.90500000,26.82900000,32.90100000,0.87670000,1.62910000,0.42053333,0.19540000,264187643.5909315,NULL,616
B00066,NULL,1.1147,2.52113333,1.81866667,0.65030000,0.44663333,0.58026667,18.80700000,11.78400000,31.12200000,38.14500000,0.39600000,0.52626667,0.32776667,0.04800000,10568194.972695587,Paid,732
B00067,NULL,NULL,2.52703333,1.21063333,0.33236667,0.35203333,0.31640000,10.06200000,19.15200000,26.15400000,17.06400000,1.06633333,0.41846667,0.33900000,0.06096667,123375904.95839527,Active,647
B00068,NULL,0.1336,1.35520000,0.93443333,0.25486667,0.16270000,0.24860000,15.08400000,16.66500000,28.06800000,26.48700000,0.62980000,1.09546667,0.38736667,0.03146667,14923831.64630754,Active,605
B00069,NULL,0.4222,1.39963333,0.71836667,0.19390000,0.20246667,0.27555000,20.52900000,20.79600000,19.52400000,19.25700000,0.63950000,0.49630000,0.45833333,0.11175000,25368328.82031328,Paid,592
B00070,NULL,NULL,3.01410000,2.35226667,0.65426667,0.69513333,0.58523333,8.41500000,11.61300000,23.17200000,19.97400000,1.08380000,0.38183333,0.31906667,0.07340000,137631202.23487887,Active,723
B00071,NULL,NULL,1.50710000,1.17473333,0.69810000,0.73010000,0.65296667,17.92200000,14.85300000,15.86100000,18.93000000,0.77086667,0.76856667,0.43763333,0.10753333,739573785.1865336,NULL,695
B00072,NULL,1.6704,1.77273333,1.17973333,0.26906667,0.23126667,0.24373333,16.80300000,10.83600000,20.17500000,26.14200000,1.55920000,1.16363333,0.32276667,0.15376667,44082675.87329412,Paid,700
B00073,NULL,1.5036,2.50603333,1.95593333,0.22646667,0.24330000,0.21890000,7.29000000,14.66100000,33.55800000,26.18700000,0.91453333,0.45686667,0.28400000,0.09643333,313062938.0983165,Active,685
B00074,NULL,0.8970,1.38183333,0.88746667,0.37620000,0.39656667,0.32580000,8.75100000,12.00000000,40.99800000,37.74900000,0.90923333,0.92786667,0.36470000,0.30730000,56381252.4593169,Active,727
B00075,NULL,NULL,1.07303333,0.74106667,0.66926667,0.43513333,0.64336667,17.51100000,11.62500000,22.95900000,28.84500000,0.43866667,2.01060000,0.44016667,0.22350000,13390434.276116712,NULL,627
B00076,NULL,NULL,1.77063333,0.86270000,0.62150000,0.38276667,0.56370000,14.62800000,14.88000000,37.22700000,36.97500000,0.41573333,0.98040000,0.29623333,0.12620000,13130479.528376272,NULL,766
B00077,NULL,NULL,1.88016667,1.31780000,0.25980000,0.27783333,0.21873333,19.47300000,7.62300000,27.62100000,39.47100000,0.47553333,0.60330000,0.28310000,0.14796667,312530689.83449835,Active,671
B00078,NULL,NULL,2.28600000,1.33333333,0.52900000,0.24343333,0.74455000,14.08800000,14.24100000,29.13900000,28.98600000,0.80393333,0.44606667,0.39203333,0.10273333,47936085.61358722,NULL,641
B00079,NULL,1.0366,1.25283333,0.77823333,0.48140000,0.50473333,0.67750000,15.58200000,21.50400000,16.00500000,10.08300000,0.43970000,0.49430000,0.41676667,0.07845000,50279691.60002439,Active,760
B00080,NULL,NULL,1.89000000,0.94716667,0.26830000,0.28243333,0.39750000,14.79600000,11.25300000,35.46900000,39.01200000,0.98546667,0.25235000,0.38243333,0.08840000,8648518.66788419,Active,787
B00081,NULL,NULL,1.03416667,0.64036667,0.43246667,0.45423333,0.38916667,9.01500000,11.47200000,20.08500000,17.62800000,0.67090000,1.13543333,0.40006667,0.10596667,24354570.648387052,NULL,722
B00082,NULL,0.9672,1.04666667,0.57146667,0.39673333,0.34613333,0.37090000,17.58900000,10.99500000,34.73400000,41.32800000,0.68720000,1.23653333,0.41280000,0.29603333,47912409.31330355,Active,755
B00083,NULL,NULL,1.16536667,0.67656667,0.40080000,0.42173333,0.36740000,12.21900000,17.12100000,27.58200000,22.68000000,0.51390000,0.74386667,0.39200000,0.16313333,39109889.717678145,Active,651
B00084,NULL,0.9967,2.63326667,1.70483333,0.56423333,0.55260000,0.54076667,16.84800000,11.93700000,25.72200000,30.63300000,0.68920000,0.49386667,0.34990000,0.06223333,28464931.317873515,Active,718
B00085,NULL,0.6546,1.47036667,1.21160000,0.32676667,0.34536667,0.30866667,9.42300000,11.94300000,36.60600000,34.08600000,1.11150000,1.03800000,0.34890000,0.25150000,11487426.071079731,Paid,700
B00086,NULL,1.0515,1.14496667,0.81600000,0.48893333,0.51896667,0.47910000,13.05600000,19.51800000,29.31600000,22.85400000,0.20473333,5.48056667,0.32326667,1.50996667,44797985.329115465,Active,714
B00087,NULL,1.1540,2.50273333,1.81546667,0.33903333,0.35846667,0.29156667,10.99200000,10.18200000,28.23600000,29.04600000,0.73526667,0.50890000,0.35050000,0.09233333,9243058.253996741,"Past due",616
B00088,NULL,NULL,1.47856667,1.09470000,0.49876667,0.24660000,0.65140000,13.85400000,15.86700000,18.34500000,16.33200000,0.73786667,0.94043333,0.34876667,0.10883333,18636580.564633872,NULL,679
B00089,NULL,0.4031,0.56563333,0.41606667,0.39436667,0.40816667,0.35916667,16.32000000,11.49300000,20.08800000,24.91500000,0.78353333,2.81816667,0.56946667,0.25723333,209371851.2837912,Active,717
B00090,NULL,NULL,1.08866667,0.76526667,1.01510000,1.04910000,0.97276667,14.63400000,22.99200000,31.28100000,22.92300000,0.61836667,1.20293333,0.59703333,0.10800000,32258766.6113937,NULL,726
B00091,NULL,NULL,0.78060000,0.53630000,0.72800000,0.76050000,0.70376667,17.90100000,9.25500000,28.93800000,37.58400000,0.27153333,0.70845000,0.44790000,0.03715000,37240229.40858072,NULL,679
B00092,NULL,1.3138,1.11860000,0.62030000,0.23236667,0.24046667,0.21963333,12.13800000,13.66200000,7.95000000,6.42600000,0.66833333,1.10793333,0.58613333,0.13066667,38431414.405072644,"Past due",648
B00093,NULL,2.0377,1.75243333,1.29226667,0.41736667,0.44026667,0.38193333,14.59500000,19.08000000,21.36600000,16.88100000,0.72253333,0.59056667,0.35810000,0.11360000,312872022.05622923,Paid,679
B00094,NULL,NULL,0.92873333,0.57983333,0.69033333,0.71763333,0.63350000,12.11700000,19.44900000,22.20300000,14.87100000,0.33416667,1.24656667,0.50120000,0.19673333,21156388.540787365,NULL,646
B00095,NULL,NULL,1.31456667,0.90826667,0.40253333,0.42346667,0.34940000,7.93500000,13.93500000,24.55800000,18.55800000,0.31100000,0.83613333,0.40023333,0.19400000,21326833.40900197,Active,667
B00096,NULL,2.9914,2.02276667,1.13070000,0.44136667,0.47433333,0.38976667,10.26600000,14.34900000,20.61300000,16.53000000,0.43290000,0.92343333,0.28653333,0.08573333,24140059.871463995,Paid,702
B00097,-4.9399,1.7025,2.08493333,1.29286667,0.45513333,0.48900000,0.42266667,13.42200000,7.74300000,29.67300000,35.35200000,0.37006667,0.61486667,0.26930000,0.12200000,19495196.197160196,Active,713
B00097,-4.931,1.7025,2.08493333,1.29286667,0.45513333,0.48900000,0.42266667,13.42200000,7.74300000,29.67300000,35.35200000,0.37006667,0.61486667,0.26930000,0.12200000,19495196.197160196,Active,713
B00098,NULL,1.4453,1.69693333,1.14633333,0.58370000,0.32270000,0.54523333,13.82400000,16.25700000,21.20700000,18.77400000,1.37796667,0.62193333,0.43280000,0.03353333,13887608.448745597,"Past due",728
B00099,-5.032,0.5999,1.49450000,1.18903333,0.71906667,0.76196667,0.68446667,15.55500000,16.60500000,14.22900000,13.17900000,1.73413333,3.04406667,0.33396667,0.24786667,438962801.90270644,Active,722
B00100,NULL,0.4659,0.56010000,0.35276667,0.31293333,0.32893333,0.28570000,18.01500000,15.23400000,33.86100000,36.64200000,0.36393333,1.61046667,0.38920000,0.29966667,672436620.6359882,Paid,667
B00101,NULL,1.9201,0.84646667,0.51920000,0.26956667,0.28093333,0.26176667,9.54900000,16.99800000,23.41200000,15.96300000,0.54416667,1.97493333,0.47970000,0.09593333,33776449.66604596,Paid,740
B00102,NULL,1.4733,2.08113333,1.27740000,0.35250000,0.37510000,0.31936667,7.78800000,18.92100000,27.08400000,15.95100000,0.75570000,1.06806667,0.33110000,0.21953333,95851974.12455425,Active,763
B00103,NULL,1.2955,1.93486667,1.27280000,0.49430000,0.52556667,0.45226667,10.66200000,12.84300000,31.20900000,29.02800000,0.29253333,1.09373333,0.32280000,0.03496667,23360232.854381233,Active,698
B00104,NULL,0.2620,1.61510000,0.95706667,0.44236667,0.46000000,0.43220000,12.47100000,22.76700000,33.08400000,22.78800000,0.68426667,2.41540000,0.49856667,0.52453333,438296751.1313948,Active,717
B00105,NULL,1.6095,2.54256667,1.82823333,0.47986667,0.36120000,0.47536667,15.03900000,12.39300000,28.73700000,31.38300000,0.43483333,0.50723333,0.29976667,0.17916667,89980900.51320824,Active,624
B00106,NULL,0.9728,1.40846667,0.96103333,0.54453333,0.57740000,0.51306667,18.06000000,14.64300000,34.24500000,37.66200000,0.61283333,4.04863333,0.32583333,0.57433333,21270333.73329451,Paid,787
B00107,-5.233499999999999,1.0964,1.93716667,1.35356667,0.20390000,0.21863333,0.26375000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2065,1.0964,1.93716667,1.35356667,0.20390000,0.21863333,0.26375000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2302,1.0964,1.93716667,1.35356667,0.20390000,0.21863333,0.26375000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.28,1.0964,1.93716667,1.35356667,0.20390000,0.21863333,0.26375000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2568,1.0964,1.93716667,1.35356667,0.20390000,0.21863333,0.26375000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00108,NULL,0.3829,1.04640000,0.49713333,0.50893333,0.53056667,0.46790000,9.90600000,12.41700000,35.72400000,33.21300000,0.24043333,1.04540000,0.47463333,0.08886667,1962252.4774402333,Active,783
B00109,NULL,1.0615,0.83083333,0.60553333,0.21516667,0.22853333,0.20643333,8.14200000,14.06400000,22.25400000,16.33200000,0.53470000,1.45623333,0.34056667,0.23353333,148949343.7273979,Active,735
B00110,NULL,2.8089,0.79450000,0.36516667,0.37643333,0.39170000,0.35893333,11.79600000,16.61700000,28.10700000,23.28600000,0.41843333,1.67093333,0.49693333,0.37723333,40703770.45146009,Paid,706
B00111,NULL,NULL,1.17726667,0.86576667,0.52710000,0.39590000,0.48770000,12.32100000,23.54700000,25.01400000,13.78800000,0.69950000,1.89746667,0.36770000,0.46980000,30773493.98076294,NULL,594
B00112,NULL,NULL,2.51586667,1.66206667,0.67753333,0.49993333,0.58123333,9.86400000,15.28800000,31.90200000,26.47800000,1.10220000,0.47850000,0.26650000,0.07300000,17465996.034595996,NULL,716
B00113,NULL,0.9993,1.33253333,0.63320000,0.39913333,0.42376667,0.33013333,12.82800000,13.04700000,27.92700000,27.70800000,0.50513333,1.70876667,0.32050000,0.30650000,70194109.25078188,Active,763
B00114,NULL,NULL,1.23886667,0.92546667,0.13010000,0.13693333,0.12653333,14.31600000,16.18500000,27.78600000,25.91700000,1.08526667,0.86726667,0.38060000,0.02576667,2088608477.4138832,Active,787
B00115,NULL,NULL,1.12260000,0.70650000,1.67173333,1.72760000,1.58986667,13.22100000,17.01300000,34.46400000,30.67200000,1.20340000,0.80060000,0.59773333,0.05480000,8736054.762482738,NULL,623
B00116,NULL,1.5194,0.90186667,0.71170000,0.12650000,0.13280000,0.11950000,17.00700000,14.63400000,20.00400000,22.37700000,0.36076667,3.41980000,0.40060000,0.06520000,78568179.31921448,Active,647
B00117,NULL,0.7685,1.43503333,1.02850000,0.38186667,0.40820000,0.30983333,16.34400000,17.17200000,24.07200000,23.24400000,0.72913333,1.37506667,0.31296667,0.04626667,8329849.582717105,Default,645
B00118,NULL,NULL,1.21320000,0.88516667,1.01256667,1.04836667,0.97413333,10.59600000,14.28000000,32.72700000,29.04300000,0.54693333,0.87670000,0.56680000,0.00000000,173335670.98671934,NULL,764
B00119,NULL,1.0127,1.36806667,0.92323333,0.40833333,0.42703333,0.36723333,12.87300000,9.72000000,22.65600000,25.80900000,0.67026667,1.14163333,0.43836667,0.04360000,536053959.1296842,Active,819
B00120,NULL,NULL,1.39066667,0.91630000,0.39926667,0.42230000,0.56115000,14.47200000,16.75800000,25.17600000,22.89000000,0.82820000,0.76760000,0.34543333,0.17260000,157523280.56929004,NULL,622
B00121,NULL,1.2716,1.75666667,1.33093333,0.75596667,0.79260000,0.72736667,15.11100000,12.48600000,24.67800000,27.30300000,0.43240000,0.49796667,0.41523333,0.04550000,16687718.653630108,Active,653
