borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score
B00014,NULL,1.4071,1.80363333,1.26443333,4.46163333,4.75646667,4.08403333,14.32200000,19.25400000,33.19800000,28.26600000,1.27890000,0.56196667,0.31153333,0.19243333,163758346.2350602,Active,689
B00015,NULL,0.6993,1.91476667,1.59030000,3.49320000,3.65463333,3.11763333,14.34900000,15.03000000,26.10000000,25.41900000,0.72950000,0.72773333,0.43413333,0.06560000,19119524.363792382,Active,634
B00016,NULL,NULL,1.53890000,1.17316667,4.18663333,4.46880000,3.77723333,15.12300000,22.27500000,26.51100000,19.35900000,0.25070000,0.68656667,0.29800000,0.05773333,19619431.581740003,NULL,782
B00017,NULL,NULL,0.91433333,0.40453333,9.95846667,10.50003333,8.80456667,11.34000000,19.37700000,22.83300000,14.79600000,0.25003333,1.32680000,0.36186667,0.12586667,5094475.708297896,NULL,707
B00018,-5.0234,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00018,-5.045599999999999,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00018,-5.0347,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00019,NULL,NULL,1.90540000,1.09816667,6.52760000,6.99726667,5.53090000,15.60300000,18.63000000,19.26300000,16.23600000,0.50250000,0.50193333,0.27753333,0.04670000,61615618.07005026,NULL,632
B00020,-5.0218,NULL,2.38383333,1.18340000,6.68866667,7.07856667,5.94660000,11.45100000,16.64100000,33.84900000,28.65900000,0.78330000,0.43100000,0.33816667,0.13873333,62824673.53758301,Paid,748
B00020,-5.0463,NULL,2.38383333,1.18340000,6.68866667,7.07856667,5.94660000,11.45100000,16.64100000,33.84900000,28.65900000,0.78330000,0.43100000,0.33816667,0.13873333,62824673.53758301,Paid,748
B00021,NULL,1.7652,1.20120000,0.59416667,4.09923333,4.26310000,3.91976667,10.40700000,16.87800000,27.41100000,20.94000000,0.40630000,0.75536667,0.50330000,0.18010000,44461067.355063684,"Past due",753
B00022,NULL,1.8214,1.19666667,0.84376667,1.49593333,1.08280000,2.03725000,13.54500000,14.89200000,23.18400000,21.83700000,0.46760000,0.82165000,0.57270000,0.08930000,211824967.21030685,Active,693
B00023,NULL,1.1699,2.43883333,1.30716667,4.85773333,5.12266667,4.31646667,16.67400000,12.27600000,20.80200000,25.20000000,1.14246667,0.43543333,0.36626667,0.06193333,972381224.3697617,Active,661
B00024,NULL,NULL,0.87116667,0.50963333,6.72670000,4.46643333,6.31000000,9.22200000,16.88700000,18.32700000,10.66200000,0.61213333,25.49953333,0.60940000,0.96310000,4931844.417702468,"Past due",755
B00025,NULL,0.6127,1.05746667,0.65500000,1.61336667,1.68486667,1.58450000,9.67200000,11.96400000,24.70200000,22.41000000,0.52973333,0.89990000,0.45203333,0.03886667,30192526.045515805,Active,661
B00026,NULL,NULL,1.37230000,0.94593333,8.98080000,7.73753333,8.48143333,7.34400000,16.26600000,15.84600000,6.92400000,0.73343333,0.53970000,0.38286667,0.05730000,34942985.278126396,NULL,650
B00027,NULL,0.0041,1.14706667,0.77450000,4.45913333,4.66976667,4.04500000,9.99600000,17.13300000,29.96700000,22.83000000,0.85776667,1.02340000,0.44223333,0.28703333,10627911.727638517,Paid,674
B00028,NULL,1.4425,1.97686667,1.15830000,8.59873333,5.77540000,7.80493333,20.01300000,17.44200000,27.69000000,30.26100000,1.28056667,0.36076667,0.42216667,0.02606667,7445362.909210828,Paid,615
B00029,NULL,NULL,1.55930000,1.07736667,7.44133333,7.69353333,10.38100000,17.19600000,13.88100000,22.01100000,25.32600000,0.43973333,0.75966667,0.59790000,0.05643333,2725838118.9872327,NULL,660
B00030,NULL,NULL,3.50043333,2.24500000,4.89100000,5.25013333,3.89476667,12.03900000,16.23900000,18.49500000,14.29500000,1.07330000,0.36813333,0.27200000,0.09846667,60330424.8592559,Paid,702
B00031,NULL,0.8034,1.44216667,0.93536667,5.64170000,5.89003333,5.30410000,12.29100000,11.45100000,13.64700000,14.48700000,0.49566667,0.74346667,0.43833333,0.03760000,818562810.088118,Active,709
B00032,NULL,1.2516,2.18990000,1.18230000,5.65290000,5.98540000,5.69720000,8.17800000,15.23700000,19.71300000,12.65400000,0.92986667,0.40753333,0.34923333,0.15826667,65128693.868580885,Default,682
B00033,-4.9239,0.9483,2.57106667,1.35916667,5.02200000,5.41660000,4.35520000,14.06700000,17.48400000,27.86100000,24.44400000,0.35953333,0.52233333,0.25623333,0.05400000,15189337.923321445,Paid,723
B00034,NULL,1.2628,1.64173333,1.05463333,3.82840000,3.97910000,3.45013333,14.46600000,19.13400000,20.73300000,16.06500000,0.54283333,0.64316667,0.50863333,0.10696667,198369738.48125526,Paid,742
B00035,NULL,1.1544,1.21166667,0.81393333,4.50713333,3.34273333,4.37993333,14.53500000,10.45200000,31.36200000,35.44500000,2.58883333,1.18013333,0.60823333,0.19683333,121491613.0926789,Paid,721
B00036,NULL,1.6792,0.97003333,0.52333333,4.61093333,4.84920000,4.58490000,10.15200000,23.16300000,20.81400000,7.80300000,0.45086667,2.90780000,0.40063333,0.84483333,44673801.84578807,Active,781
B00037,NULL,NULL,0.94010000,0.45460000,8.90486667,2.43880000,12.67640000,12.69900000,16.10700000,16.14900000,12.74100000,0.48173333,4.08543333,0.58466667,0.04096667,47513706.65986878,NULL,602
B00038,NULL,1.4512,0.57810000,0.30063333,1.67496667,1.76026667,2.35235000,12.21900000,10.18800000,20.94000000,22.97100000,0.20983333,2.24610000,0.38113333,0.19510000,67561200.81953272,Paid,737
B00039,NULL,0.9366,1.18910000,0.85796667,3.12480000,3.24956667,4.54745000,18.05700000,15.56700000,24.62400000,27.11400000,0.52323333,0.61720000,0.49166667,0.08205000,93368796.0802788,Active,683
B00040,NULL,NULL,2.13840000,1.24703333,7.11896667,6.02143333,6.24556667,16.42200000,15.68700000,20.19300000,20.92800000,1.17643333,0.49460000,0.36316667,0.07693333,24104325.11788988,NULL,764
B00041,NULL,1.2964,1.05960000,0.56810000,4.05303333,4.21150000,4.05606667,12.06000000,16.36800000,38.94900000,34.64100000,0.78076667,0.98163333,0.48310000,0.05323333,84139769.13363409,Active,728
B00042,NULL,1.1057,1.02940000,0.75336667,6.22576667,6.49433333,5.99893333,14.75100000,21.91200000,21.32400000,14.16300000,0.25566667,8.36983333,0.45663333,0.04966667,2908787.471213392,Paid,772
B00043,NULL,NULL,2.34036667,1.45333333,5.31126667,5.59553333,5.08703333,13.91700000,16.66200000,19.47000000,16.72500000,1.18956667,0.56306667,0.37346667,0.09953333,17618138.7247679,NULL,623
B00044,NULL,1.1934,0.60280000,0.38070000,2.54723333,1.88646667,2.34346667,18.85200000,16.79700000,22.88400000,24.93900000,0.28056667,5.34500000,0.34746667,1.70290000,10916961.292612026,Active,719
B00045,NULL,1.2141,1.40143333,0.89673333,5.07136667,5.27670000,4.92076667,15.78300000,13.26300000,34.60500000,37.12500000,0.83863333,1.29156667,0.51770000,0.02686667,4883595.540294295,Active,741
B00046,NULL,NULL,1.25796667,0.96496667,5.70063333,6.11160000,4.94703333,8.81700000,17.45700000,20.30700000,11.66700000,0.35110000,1.72425000,0.27490000,0.25240000,86149641.55863415,NULL,652
B00047,NULL,NULL,0.99130000,0.74933333,4.69106667,4.90290000,4.19410000,12.49500000,14.87700000,29.16600000,26.78400000,0.41263333,1.49676667,0.43966667,0.14903333,94188487.88125317,Active,626
B00048,NULL,1.6304,1.10496667,0.73396667,1.33616667,1.39630000,1.26006667,9.81600000,16.88100000,30.75300000,23.68800000,0.52816667,0.89453333,0.44416667,0.08486667,42930837.42343115,Paid,650
B00049,NULL,1.0600,2.38766667,1.77603333,5.24710000,5.51846667,4.63210000,9.69000000,17.78400000,28.84500000,20.75100000,0.94446667,0.49830000,0.39373333,0.13303333,23020549.162677832,Active,667
B00050,NULL,NULL,1.82316667,1.05703333,5.26513333,5.51233333,4.75363333,12.74400000,15.21600000,24.72300000,22.25100000,0.46230000,0.88610000,0.42080000,0.05596667,82295424.10183908,Active,665
B00051,NULL,0.9876,2.12673333,1.26960000,4.41846667,4.69140000,6.21425000,11.04600000,16.53300000,26.96700000,21.48000000,0.86256667,0.23215000,0.30926667,0.08445000,518569486.80355227,"Past due",598
B00052,NULL,1.4527,1.37506667,0.74300000,7.40296667,6.06310000,6.92800000,9.15600000,21.88800000,29.25900000,16.52700000,1.15693333,1.24560000,0.43926667,0.34613333,209185660.79550242,Paid,737
B00053,NULL,NULL,3.60000000,1.90293333,4.54660000,4.87616667,4.36526667,13.92600000,11.33400000,16.14900000,18.74100000,0.65543333,0.28756667,0.27766667,0.00156667,30043092.535817392,NULL,719
B00054,NULL,NULL,3.01110000,1.42950000,7.23336667,7.62593333,6.95513333,14.29800000,12.10800000,17.73900000,19.92900000,3.09146667,0.44986667,0.36443333,0.08990000,49631323.7135379,Default,784
B00055,NULL,0.1471,1.57350000,0.94290000,4.01573333,3.74336667,3.66563333,7.63500000,9.61800000,7.81200000,5.82900000,1.06673333,0.73363333,0.59846667,0.05316667,7352067.130968428,Active,727
B00056,NULL,NULL,1.38873333,1.08290000,2.93826667,3.11433333,2.58290000,7.26900000,17.70900000,18.15300000,7.71300000,0.40876667,3.30870000,0.35610000,0.43230000,6625026.202296587,Active,826
B00057,NULL,1.0394,0.43503333,0.23260000,17.13953333,17.72313333,16.97363333,15.67800000,12.54900000,25.05300000,28.18200000,0.79453333,55.89330000,0.58290000,0.00000000,61482616.95308713,Active,583
B00058,NULL,1.1284,1.33896667,0.72816667,6.38726667,6.84016667,6.04976667,13.71600000,13.40100000,27.11400000,27.42900000,1.22753333,1.60870000,0.28526667,0.49493333,25614740.119907863,Paid,779
B00059,NULL,2.1798,1.28860000,0.83403333,1.76726667,1.86676667,2.26220000,8.72700000,17.37600000,17.42700000,8.77800000,0.44136667,0.57455000,0.35816667,0.03185000,55494324.380138345,Active,754
B00060,NULL,0.4894,1.40546667,1.12843333,3.62696667,3.79063333,3.44576667,13.41600000,17.07000000,23.78400000,20.13000000,0.78410000,1.05633333,0.44106667,0.13573333,7469567.667654936,Paid,655
B00061,-4.947,NULL,2.56756667,1.30100000,5.24020000,5.63116667,4.56833333,16.92600000,10.24500000,31.85400000,38.53500000,0.59813333,0.85820000,0.27016667,0.14106667,4405851.568934243,Active,628
B00062,NULL,NULL,0.44253333,0.23160000,10.53366667,10.88660000,9.83673333,13.15800000,15.25800000,26.81700000,24.71700000,0.41323333,4.83066667,0.60453333,0.16563333,36107091.29295138,NULL,721
B00063,NULL,1.3263,2.40113333,1.93170000,5.58500000,5.99700000,4.90540000,13.93500000,12.69000000,29.43000000,30.67500000,0.86120000,0.39703333,0.27200000,0.11810000,607450342.6514175,"Past due",669
B00064,NULL,1.1029,1.40993333,1.02526667,5.45803333,5.78093333,5.28280000,15.54900000,20.31300000,24.03600000,19.27200000,0.31570000,0.88933333,0.33110000,0.17170000,9377838.28921838,Paid,667
B00065,NULL,NULL,1.62880000,0.77993333,7.69076667,5.61993333,6.81753333,16.97700000,10.90500000,26.82900000,32.90100000,0.87670000,1.62910000,0.42053333,0.19540000,264187643.5909315,NULL,616
B00066,NULL,1.1147,2.52113333,1.81866667,6.50296667,4.46616667,5.80253333,18.80700000,11.78400000,31.12200000,38.14500000,0.39600000,0.52626667,0.32776667,0.04800000,10568194.972695587,Paid,732
B00067,NULL,NULL,2.52703333,1.21063333,3.32363333,3.52030000,3.16356667,10.06200000,19.15200000,26.15400000,17.06400000,1.06633333,0.41846667,0.33900000,0.06096667,123375904.95839527,Active,647
B00068,NULL,0.1336,1.35520000,0.93443333,2.54863333,1.62673333,2.48606667,15.08400000,16.66500000,28.06800000,26.48700000,0.62980000,1.09546667,0.38736667,0.03146667,14923831.64630754,Active,605
B00069,NULL,0.4222,1.39963333,0.71836667,1.93893333,2.02473333,2.75530000,20.52900000,20.79600000,19.52400000,19.25700000,0.63950000,0.49630000,0.45833333,0.11175000,25368328.82031328,Paid,592
B00070,NULL,NULL,3.01410000,2.35226667,6.54290000,6.95166667,5.85246667,8.41500000,11.61300000,23.17200000,19.97400000,1.08380000,0.38183333,0.31906667,0.07340000,137631202.23487887,Active,723
B00071,NULL,NULL,1.50710000,1.17473333,6.98080000,7.30123333,6.52976667,17.92200000,14.85300000,15.86100000,18.93000000,0.77086667,0.76856667,0.43763333,0.10753333,739573785.1865336,NULL,695
B00072,NULL,1.6704,1.77273333,1.17973333,2.69046667,2.31253333,2.43746667,16.80300000,10.83600000,20.17500000,26.14200000,1.55920000,1.16363333,0.32276667,0.15376667,44082675.87329412,Paid,700
B00073,NULL,1.5036,2.50603333,1.95593333,2.26470000,2.43320000,2.18906667,7.29000000,14.66100000,33.55800000,26.18700000,0.91453333,0.45686667,0.28400000,0.09643333,313062938.0983165,Active,685
B00074,NULL,0.8970,1.38183333,0.88746667,3.76206667,3.96560000,3.25800000,8.75100000,12.00000000,40.99800000,37.74900000,0.90923333,0.92786667,0.36470000,0.30730000,56381252.4593169,Active,727
B00075,NULL,NULL,1.07303333,0.74106667,6.69240000,4.35126667,6.43326667,17.51100000,11.62500000,22.95900000,28.84500000,0.43866667,2.01060000,0.44016667,0.22350000,13390434.276116712,NULL,627
B00076,NULL,NULL,1.77063333,0.86270000,6.21496667,3.82756667,5.63696667,14.62800000,14.88000000,37.22700000,36.97500000,0.41573333,0.98040000,0.29623333,0.12620000,13130479.528376272,NULL,766
B00077,NULL,NULL,1.88016667,1.31780000,2.59793333,2.77856667,2.18720000,19.47300000,7.62300000,27.62100000,39.47100000,0.47553333,0.60330000,0.28310000,0.14796667,312530689.83449835,Active,671
B00078,NULL,NULL,2.28600000,1.33333333,5.29006667,2.43420000,7.44535000,14.08800000,14.24100000,29.13900000,28.98600000,0.80393333,0.44606667,0.39203333,0.10273333,47936085.61358722,NULL,641
B00079,NULL,1.0366,1.25283333,0.77823333,4.81373333,5.04706667,6.77540000,15.58200000,21.50400000,16.00500000,10.08300000,0.43970000,0.49430000,0.41676667,0.07845000,50279691.60002439,Active,760
B00080,NULL,NULL,1.89000000,0.94716667,2.68300000,2.82426667,3.97495000,14.79600000,11.25300000,35.46900000,39.01200000,0.98546667,0.25235000,0.38243333,0.08840000,8648518.66788419,Active,787
B00081,NULL,NULL,1.03416667,0.64036667,4.32483333,4.54196667,3.89153333,9.01500000,11.47200000,20.08500000,17.62800000,0.67090000,1.13543333,0.40006667,0.10596667,24354570.648387052,NULL,722
B00082,NULL,0.9672,1.04666667,0.57146667,3.96746667,3.46123333,3.70933333,17.58900000,10.99500000,34.73400000,41.32800000,0.68720000,1.23653333,0.41280000,0.29603333,47912409.31330355,Active,755
B00083,NULL,NULL,1.16536667,0.67656667,4.00796667,4.21760000,3.67406667,12.21900000,17.12100000,27.58200000,22.68000000,0.51390000,0.74386667,0.39200000,0.16313333,39109889.717678145,Active,651
B00084,NULL,0.9967,2.63326667,1.70483333,5.64226667,5.52603333,5.40786667,16.84800000,11.93700000,25.72200000,30.63300000,0.68920000,0.49386667,0.34990000,0.06223333,28464931.317873515,Active,718
B00085,NULL,0.6546,1.47036667,1.21160000,3.26736667,3.45356667,3.08706667,9.42300000,11.94300000,36.60600000,34.08600000,1.11150000,1.03800000,0.34890000,0.25150000,11487426.071079731,Paid,700
B00086,NULL,1.0515,1.14496667,0.81600000,4.88953333,5.18993333,4.79093333,13.05600000,19.51800000,29.31600000,22.85400000,0.20473333,5.48056667,0.32326667,1.50996667,44797985.329115465,Active,714
B00087,NULL,1.1540,2.50273333,1.81546667,3.39063333,3.58483333,2.91576667,10.99200000,10.18200000,28.23600000,29.04600000,0.73526667,0.50890000,0.35050000,0.09233333,9243058.253996741,"Past due",616
B00088,NULL,NULL,1.47856667,1.09470000,4.98763333,2.46610000,6.51390000,13.85400000,15.86700000,18.34500000,16.33200000,0.73786667,0.94043333,0.34876667,0.10883333,18636580.564633872,NULL,679
B00089,NULL,0.4031,0.56563333,0.41606667,3.94363333,4.08156667,3.59173333,16.32000000,11.49300000,20.08800000,24.91500000,0.78353333,2.81816667,0.56946667,0.25723333,209371851.2837912,Active,717
B00090,NULL,NULL,1.08866667,0.76526667,10.15080000,10.49100000,9.72766667,14.63400000,22.99200000,31.28100000,22.92300000,0.61836667,1.20293333,0.59703333,0.10800000,32258766.6113937,NULL,726
B00091,NULL,NULL,0.78060000,0.53630000,7.28036667,7.60466667,7.03776667,17.90100000,9.25500000,28.93800000,37.58400000,0.27153333,0.70845000,0.44790000,0.03715000,37240229.40858072,NULL,679
B00092,NULL,1.3138,1.11860000,0.62030000,2.32356667,2.40430000,2.19633333,12.13800000,13.66200000,7.95000000,6.42600000,0.66833333,1.10793333,0.58613333,0.13066667,38431414.405072644,"Past due",648
B00093,NULL,2.0377,1.75243333,1.29226667,4.17373333,4.40236667,3.81946667,14.59500000,19.08000000,21.36600000,16.88100000,0.72253333,0.59056667,0.35810000,0.11360000,312872022.05622923,Paid,679
B00094,NULL,NULL,0.92873333,0.57983333,6.90310000,7.17623333,6.33506667,12.11700000,19.44900000,22.20300000,14.87100000,0.33416667,1.24656667,0.50120000,0.19673333,21156388.540787365,NULL,646
B00095,NULL,NULL,1.31456667,0.90826667,4.02560000,4.23453333,3.49390000,7.93500000,13.93500000,24.55800000,18.55800000,0.31100000,0.83613333,0.40023333,0.19400000,21326833.40900197,Active,667
B00096,NULL,2.9914,2.02276667,1.13070000,4.41363333,4.74320000,3.89770000,10.26600000,14.34900000,20.61300000,16.53000000,0.43290000,0.92343333,0.28653333,0.08573333,24140059.871463995,Paid,702
B00097,-4.9399,1.7025,2.08493333,1.29286667,4.55126667,4.88993333,4.22680000,13.42200000,7.74300000,29.67300000,35.35200000,0.37006667,0.61486667,0.26930000,0.12200000,19495196.197160196,Active,713
B00097,-4.931,1.7025,2.08493333,1.29286667,4.55126667,4.88993333,4.22680000,13.42200000,7.74300000,29.67300000,35.35200000,0.37006667,0.61486667,0.26930000,0.12200000,19495196.197160196,Active,713
B00098,NULL,1.4453,1.69693333,1.14633333,5.83730000,3.22713333,5.45213333,13.82400000,16.25700000,21.20700000,18.77400000,1.37796667,0.62193333,0.43280000,0.03353333,13887608.448745597,"Past due",728
B00099,-5.032,0.5999,1.49450000,1.18903333,7.19070000,7.61970000,6.84486667,15.55500000,16.60500000,14.22900000,13.17900000,1.73413333,3.04406667,0.33396667,0.24786667,438962801.90270644,Active,722
B00100,NULL,0.4659,0.56010000,0.35276667,3.12896667,3.28973333,2.85683333,18.01500000,15.23400000,33.86100000,36.64200000,0.36393333,1.61046667,0.38920000,0.29966667,672436620.6359882,Paid,667
B00101,NULL,1.9201,0.84646667,0.51920000,2.69546667,2.80930000,2.61786667,9.54900000,16.99800000,23.41200000,15.96300000,0.54416667,1.97493333,0.47970000,0.09593333,33776449.66604596,Paid,740
B00102,NULL,1.4733,2.08113333,1.27740000,3.52503333,3.75093333,3.19360000,7.78800000,18.92100000,27.08400000,15.95100000,0.75570000,1.06806667,0.33110000,0.21953333,95851974.12455425,Active,763
B00103,NULL,1.2955,1.93486667,1.27280000,4.94286667,5.25556667,4.52263333,10.66200000,12.84300000,31.20900000,29.02800000,0.29253333,1.09373333,0.32280000,0.03496667,23360232.854381233,Active,698
B00104,NULL,0.2620,1.61510000,0.95706667,4.42373333,4.59990000,4.32173333,12.47100000,22.76700000,33.08400000,22.78800000,0.68426667,2.41540000,0.49856667,0.52453333,438296751.1313948,Active,717
B00105,NULL,1.6095,2.54256667,1.82823333,4.79843333,3.61176667,4.75373333,15.03900000,12.39300000,28.73700000,31.38300000,0.43483333,0.50723333,0.29976667,0.17916667,89980900.51320824,Active,624
B00106,NULL,0.9728,1.40846667,0.96103333,5.44530000,5.77396667,5.13086667,18.06000000,14.64300000,34.24500000,37.66200000,0.61283333,4.04863333,0.32583333,0.57433333,21270333.73329451,Paid,787
B00107,-5.233499999999999,1.0964,1.93716667,1.35356667,2.03903333,2.18650000,2.63735000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2065,1.0964,1.93716667,1.35356667,2.03903333,2.18650000,2.63735000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2302,1.0964,1.93716667,1.35356667,2.03903333,2.18650000,2.63735000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.28,1.0964,1.93716667,1.35356667,2.03903333,2.18650000,2.63735000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00107,-5.2568,1.0964,1.93716667,1.35356667,2.03903333,2.18650000,2.63735000,9.64800000,15.07200000,23.20200000,17.77800000,0.73376667,0.64565000,0.29250000,0.13705000,105731648.4786483,"Past due",636
B00108,NULL,0.3829,1.04640000,0.49713333,5.08953333,5.30556667,4.67920000,9.90600000,12.41700000,35.72400000,33.21300000,0.24043333,1.04540000,0.47463333,0.08886667,1962252.4774402333,Active,783
B00109,NULL,1.0615,0.83083333,0.60553333,2.15163333,2.28526667,2.06446667,8.14200000,14.06400000,22.25400000,16.33200000,0.53470000,1.45623333,0.34056667,0.23353333,148949343.7273979,Active,735
B00110,NULL,2.8089,0.79450000,0.36516667,3.76430000,3.91706667,3.58926667,11.79600000,16.61700000,28.10700000,23.28600000,0.41843333,1.67093333,0.49693333,0.37723333,40703770.45146009,Paid,706
B00111,NULL,NULL,1.17726667,0.86576667,5.27070000,3.95890000,4.87720000,12.32100000,23.54700000,25.01400000,13.78800000,0.69950000,1.89746667,0.36770000,0.46980000,30773493.98076294,NULL,594
B00112,NULL,NULL,2.51586667,1.66206667,6.77506667,4.99946667,5.81236667,9.86400000,15.28800000,31.90200000,26.47800000,1.10220000,0.47850000,0.26650000,0.07300000,17465996.034595996,NULL,716
B00113,NULL,0.9993,1.33253333,0.63320000,3.99123333,4.23790000,3.30113333,12.82800000,13.04700000,27.92700000,27.70800000,0.50513333,1.70876667,0.32050000,0.30650000,70194109.25078188,Active,763
B00114,NULL,NULL,1.23886667,0.92546667,1.30093333,1.36916667,1.26540000,14.31600000,16.18500000,27.78600000,25.91700000,1.08526667,0.86726667,0.38060000,0.02576667,2088608477.4138832,Active,787
B00115,NULL,NULL,1.12260000,0.70650000,16.71733333,17.27596667,15.89866667,13.22100000,17.01300000,34.46400000,30.67200000,1.20340000,0.80060000,0.59773333,0.05480000,8736054.762482738,NULL,623
B00116,NULL,1.5194,0.90186667,0.71170000,1.26493333,1.32823333,1.19506667,17.00700000,14.63400000,20.00400000,22.37700000,0.36076667,3.41980000,0.40060000,0.06520000,78568179.31921448,Active,647
B00117,NULL,0.7685,1.43503333,1.02850000,3.81850000,4.08230000,3.09823333,16.34400000,17.17200000,24.07200000,23.24400000,0.72913333,1.37506667,0.31296667,0.04626667,8329849.582717105,Default,645
B00118,NULL,NULL,1.21320000,0.88516667,10.12543333,10.48373333,9.74150000,10.59600000,14.28000000,32.72700000,29.04300000,0.54693333,0.87670000,0.56680000,0.00000000,173335670.98671934,NULL,764
B00119,NULL,1.0127,1.36806667,0.92323333,4.08330000,4.27020000,3.67246667,12.87300000,9.72000000,22.65600000,25.80900000,0.67026667,1.14163333,0.43836667,0.04360000,536053959.1296842,Active,819
B00120,NULL,NULL,1.39066667,0.91630000,3.99286667,4.22320000,5.61150000,14.47200000,16.75800000,25.17600000,22.89000000,0.82820000,0.76760000,0.34543333,0.17260000,157523280.56929004,NULL,622
B00121,NULL,1.2716,1.75666667,1.33093333,7.55980000,7.92590000,7.27360000,15.11100000,12.48600000,24.67800000,27.30300000,0.43240000,0.49796667,0.41523333,0.04550000,16687718.653630108,Active,653
