borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score,ccr_rating,tlr_rating,sdlr_rating,ebit_coverage_ratio_rating,ebitda_coverage_ratio_rating,capex_adjusted_coverage_ratio_rating,AP_rating,AR_rating,inventory_days_rating,CCC_rating,debt_to_equity_rating,operating_cash_flow_coverage_rating,profit_margin_rating,liquidity_ratio_rating,credit_score_rating
B00020,-5.0218,,2.38383333,1.1834,0.66886667,0.70786667,0.59466667,11.451,16.641,33.849,28.659,0.7833,0.431,0.33816667,0.13873333,62824673.53758301,Paid,748,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00020,-5.0463,,2.38383333,1.1834,0.66886667,0.70786667,0.59466667,11.451,16.641,33.849,28.659,0.7833,0.431,0.33816667,0.13873333,62824673.53758301,Paid,748,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00021,,1.7652,1.2012,0.59416667,0.40993333,0.42633333,0.39196667,10.407,16.878,27.411,20.94,0.4063,0.75536667,0.5033,0.1801,44461067.35506368,Past due,753,1,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00022,,1.8214,1.19666667,0.84376667,0.1496,0.10826667,0.2037,13.545,14.892,23.184,21.837,0.4676,0.82165,0.5727,0.0893,211824967.21030685,Active,693,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00023,,1.1699,2.43883333,1.30716667,0.48576667,0.51226667,0.43166667,16.674,12.276,20.802,25.2,1.14246667,0.43543333,0.36626667,0.06193333,972381224.3697616,Active,661,1,2,3,0,0,0,1,1,1,1,1,0,3,0,1
B00024,,,0.87116667,0.50963333,0.67266667,0.44666667,0.63103333,9.222,16.887,18.327,10.662,0.61213333,25.49953333,0.6094,0.9631,4931844.417702468,Past due,755,0,2,3,0,0,0,1,1,1,1,2,2,3,0,3
B00025,,0.6127,1.05746667,0.655,0.16133333,0.16846667,0.15846667,9.672,11.964,24.702,22.41,0.52973333,0.8999,0.45203333,0.03886667,30192526.045515805,Active,661,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00026,,,1.3723,0.94593333,0.8981,0.77376667,0.84816667,7.344,16.266,15.846,6.924,0.73343333,0.5397,0.38286667,0.0573,34942985.278126396,,650,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00027,,0.0041,1.14706667,0.7745,0.44593333,0.46696667,0.4045,9.996,17.133,29.967,22.83,0.85776667,1.0234,0.44223333,0.28703333,10627911.727638517,Paid,674,0,2,3,0,0,0,1,1,1,1,2,1,3,0,2
B00028,,1.4425,1.97686667,1.1583,0.8599,0.57753333,0.7805,20.013,17.442,27.69,30.261,1.28056667,0.36076667,0.42216667,0.02606667,7445362.909210828,Paid,615,1,2,3,0,0,0,1,1,1,1,1,0,3,0,1
B00029,,,1.5593,1.07736667,0.74413333,0.76933333,1.0381,17.196,13.881,22.011,25.326,0.43973333,0.75966667,0.5979,0.05643333,2725838118.9872327,,660,0,2,3,0,0,1,1,1,1,1,2,0,3,0,1
B00030,,,3.50043333,2.245,0.4891,0.525,0.38946667,12.039,16.239,18.495,14.295,1.0733,0.36813333,0.272,0.09846667,60330424.8592559,Paid,702,0,1,2,0,0,0,1,1,1,1,1,0,3,0,2
B00031,,0.8034,1.44216667,0.93536667,0.56416667,0.58903333,0.5304,12.291,11.451,13.647,14.487,0.49566667,0.74346667,0.43833333,0.0376,818562810.088118,Active,709,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00032,,1.2516,2.1899,1.1823,0.56526667,0.59853333,0.56973333,8.178,15.237,19.713,12.654,0.92986667,0.40753333,0.34923333,0.15826667,65128693.868580885,Default,682,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00033,-4.9239,0.9483,2.57106667,1.35916667,0.5022,0.54166667,0.4355,14.067,17.484,27.861,24.444,0.35953333,0.52233333,0.25623333,0.054,15189337.923321445,Paid,723,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00034,,1.2628,1.64173333,1.05463333,0.38286667,0.39793333,0.34503333,14.466,19.134,20.733,16.065,0.54283333,0.64316667,0.50863333,0.10696667,198369738.4812553,Paid,742,1,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00035,,1.1544,1.21166667,0.81393333,0.4507,0.33426667,0.43796667,14.535,10.452,31.362,35.445,2.58883333,1.18013333,0.60823333,0.19683333,121491613.0926789,Paid,721,1,2,3,0,0,0,1,1,1,1,0,1,3,0,2
B00036,,1.6792,0.97003333,0.52333333,0.4611,0.48493333,0.45846667,10.152,23.163,20.814,7.803,0.45086667,2.9078,0.40063333,0.84483333,44673801.84578807,Active,781,1,2,3,0,0,0,1,1,1,1,2,2,3,0,3
B00037,,,0.9401,0.4546,0.89046667,0.24386667,1.26765,12.699,16.107,16.149,12.741,0.48173333,4.08543333,0.58466667,0.04096667,47513706.65986878,,602,0,2,3,0,0,2,1,1,1,1,2,2,3,0,1
B00038,,1.4512,0.5781,0.30063333,0.1675,0.17603333,0.23525,12.219,10.188,20.94,22.971,0.20983333,2.2461,0.38113333,0.1951,67561200.81953272,Paid,737,1,2,3,0,0,0,1,1,1,1,2,2,3,0,2
B00039,,0.9366,1.1891,0.85796667,0.3125,0.32493333,0.45475,18.057,15.567,24.624,27.114,0.52323333,0.6172,0.49166667,0.08205,93368796.0802788,Active,683,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00040,,,2.1384,1.24703333,0.71186667,0.60216667,0.62453333,16.422,15.687,20.193,20.928,1.17643333,0.4946,0.36316667,0.07693333,24104325.11788988,,764,0,2,3,0,0,0,1,1,1,1,1,0,3,0,3
B00041,,1.2964,1.0596,0.5681,0.4053,0.42113333,0.4056,12.06,16.368,38.949,34.641,0.78076667,0.98163333,0.4831,0.05323333,84139769.13363409,Active,728,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00042,,1.1057,1.0294,0.75336667,0.6226,0.64943333,0.5999,14.751,21.912,21.324,14.163,0.25566667,8.36983333,0.45663333,0.04966667,2908787.471213392,Paid,772,1,2,3,0,0,0,1,1,1,1,2,2,3,0,3
B00043,,,2.34036667,1.45333333,0.53113333,0.55956667,0.5087,13.917,16.662,19.47,16.725,1.18956667,0.56306667,0.37346667,0.09953333,17618138.7247679,,623,0,2,3,0,0,0,1,1,1,1,1,0,3,0,1
B00044,,1.1934,0.6028,0.3807,0.25473333,0.18866667,0.23433333,18.852,16.797,22.884,24.939,0.28056667,5.345,0.34746667,1.7029,10916961.292612026,Active,719,1,2,3,0,0,0,1,1,1,1,2,2,3,1,2
B00045,,1.2141,1.40143333,0.89673333,0.50716667,0.52766667,0.49206667,15.783,13.263,34.605,37.125,0.83863333,1.29156667,0.5177,0.02686667,4883595.540294295,Active,741,1,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00046,,,1.25796667,0.96496667,0.57006667,0.61113333,0.49466667,8.817,17.457,20.307,11.667,0.3511,1.72425,0.2749,0.2524,86149641.55863415,,652,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00047,,,0.9913,0.74933333,0.4691,0.4903,0.41943333,12.495,14.877,29.166,26.784,0.41263333,1.49676667,0.43966667,0.14903333,94188487.88125315,Active,626,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00048,,1.6304,1.10496667,0.73396667,0.13363333,0.13963333,0.126,9.816,16.881,30.753,23.688,0.52816667,0.89453333,0.44416667,0.08486667,42930837.42343115,Paid,650,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00049,,1.06,2.38766667,1.77603333,0.5247,0.55183333,0.4632,9.69,17.784,28.845,20.751,0.94446667,0.4983,0.39373333,0.13303333,23020549.162677832,Active,667,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00050,,,1.82316667,1.05703333,0.5265,0.55123333,0.47536667,12.744,15.216,24.723,22.251,0.4623,0.8861,0.4208,0.05596667,82295424.10183908,Active,665,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00051,,0.9876,2.12673333,1.2696,0.44183333,0.46913333,0.62145,11.046,16.533,26.967,21.48,0.86256667,0.23215,0.30926667,0.08445,518569486.8035522,Past due,598,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00052,,1.4527,1.37506667,0.743,0.7403,0.60633333,0.6928,9.156,21.888,29.259,16.527,1.15693333,1.2456,0.43926667,0.34613333,209185660.7955024,Paid,737,1,2,3,0,0,0,1,1,1,1,1,1,3,0,2
B00053,,,3.6,1.90293333,0.45466667,0.48763333,0.43653333,13.926,11.334,16.149,18.741,0.65543333,0.28756667,0.27766667,0.00156667,30043092.535817392,,719,0,1,3,0,0,0,1,1,1,1,2,0,3,0,2
B00054,,,3.0111,1.4295,0.7233,0.7626,0.69553333,14.298,12.108,17.739,19.929,3.09146667,0.44986667,0.36443333,0.0899,49631323.7135379,Default,784,0,1,3,0,0,0,1,1,1,1,0,0,3,0,3
B00055,,0.1471,1.5735,0.9429,0.40156667,0.37433333,0.36656667,7.635,9.618,7.812,5.829,1.06673333,0.73363333,0.59846667,0.05316667,7352067.130968428,Active,727,0,2,3,0,0,0,1,1,1,1,1,0,3,0,2
B00056,,,1.38873333,1.0829,0.29386667,0.31143333,0.2583,7.269,17.709,18.153,7.713,0.40876667,3.3087,0.3561,0.4323,6625026.202296587,Active,826,0,2,3,0,0,0,1,1,1,1,2,2,3,0,4
B00057,,1.0394,0.43503333,0.2326,1.71396667,1.77233333,1.69736667,15.678,12.549,25.053,28.182,0.79453333,55.8933,0.5829,0.0,61482616.95308713,Active,583,1,2,3,1,1,2,1,1,1,1,2,2,3,0,1
B00058,,1.1284,1.33896667,0.72816667,0.6387,0.68403333,0.60496667,13.716,13.401,27.114,27.429,1.22753333,1.6087,0.28526667,0.49493333,25614740.119907863,Paid,779,1,2,3,0,0,0,1,1,1,1,1,1,3,0,3
B00059,,2.1798,1.2886,0.83403333,0.17673333,0.18666667,0.2262,8.727,17.376,17.427,8.778,0.44136667,0.57455,0.35816667,0.03185,55494324.380138345,Active,754,2,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00060,,0.4894,1.40546667,1.12843333,0.3627,0.37906667,0.3446,13.416,17.07,23.784,20.13,0.7841,1.05633333,0.44106667,0.13573333,7469567.667654936,Paid,655,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00061,-4.947,,2.56756667,1.301,0.524,0.56313333,0.45683333,16.926,10.245,31.854,38.535,0.59813333,0.8582,0.27016667,0.14106667,4405851.568934243,Active,628,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00062,,,0.44253333,0.2316,1.0534,1.08866667,0.98366667,13.158,15.258,26.817,24.717,0.41323333,4.83066667,0.60453333,0.16563333,36107091.29295138,,721,0,2,3,1,0,0,1,1,1,1,2,2,3,0,2
B00063,,1.3263,2.40113333,1.9317,0.55846667,0.5997,0.49053333,13.935,12.69,29.43,30.675,0.8612,0.39703333,0.272,0.1181,607450342.6514175,Past due,669,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00064,,1.1029,1.40993333,1.02526667,0.54576667,0.57806667,0.52826667,15.549,20.313,24.036,19.272,0.3157,0.88933333,0.3311,0.1717,9377838.28921838,Paid,667,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00065,,,1.6288,0.77993333,0.7691,0.56196667,0.68176667,16.977,10.905,26.829,32.901,0.8767,1.6291,0.42053333,0.1954,264187643.5909315,,616,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00066,,1.1147,2.52113333,1.81866667,0.6503,0.44663333,0.58026667,18.807,11.784,31.122,38.145,0.396,0.52626667,0.32776667,0.048,10568194.972695587,Paid,732,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00067,,,2.52703333,1.21063333,0.33236667,0.35203333,0.3164,10.062,19.152,26.154,17.064,1.06633333,0.41846667,0.339,0.06096667,123375904.95839529,Active,647,0,2,3,0,0,0,1,1,1,1,1,0,3,0,1
B00068,,0.1336,1.3552,0.93443333,0.25486667,0.1627,0.2486,15.084,16.665,28.068,26.487,0.6298,1.09546667,0.38736667,0.03146667,14923831.64630754,Active,605,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00069,,0.4222,1.39963333,0.71836667,0.1939,0.20246667,0.27555,20.529,20.796,19.524,19.257,0.6395,0.4963,0.45833333,0.11175,25368328.82031328,Paid,592,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00070,,,3.0141,2.35226667,0.65426667,0.69513333,0.58523333,8.415,11.613,23.172,19.974,1.0838,0.38183333,0.31906667,0.0734,137631202.23487887,Active,723,0,1,2,0,0,0,1,1,1,1,1,0,3,0,2
B00071,,,1.5071,1.17473333,0.6981,0.7301,0.65296667,17.922,14.853,15.861,18.93,0.77086667,0.76856667,0.43763333,0.10753333,739573785.1865336,,695,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00072,,1.6704,1.77273333,1.17973333,0.26906667,0.23126667,0.24373333,16.803,10.836,20.175,26.142,1.5592,1.16363333,0.32276667,0.15376667,44082675.87329412,Paid,700,1,2,3,0,0,0,1,1,1,1,1,1,3,0,2
B00073,,1.5036,2.50603333,1.95593333,0.22646667,0.2433,0.2189,7.29,14.661,33.558,26.187,0.91453333,0.45686667,0.284,0.09643333,313062938.0983165,Active,685,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00074,,0.897,1.38183333,0.88746667,0.3762,0.39656667,0.3258,8.751,12.0,40.998,37.749,0.90923333,0.92786667,0.3647,0.3073,56381252.4593169,Active,727,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00075,,,1.07303333,0.74106667,0.66926667,0.43513333,0.64336667,17.511,11.625,22.959,28.845,0.43866667,2.0106,0.44016667,0.2235,13390434.276116712,,627,0,2,3,0,0,0,1,1,1,1,2,2,3,0,1
B00076,,,1.77063333,0.8627,0.6215,0.38276667,0.5637,14.628,14.88,37.227,36.975,0.41573333,0.9804,0.29623333,0.1262,13130479.528376272,,766,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00077,,,1.88016667,1.3178,0.2598,0.27783333,0.21873333,19.473,7.623,27.621,39.471,0.47553333,0.6033,0.2831,0.14796667,312530689.83449835,Active,671,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00078,,,2.286,1.33333333,0.529,0.24343333,0.74455,14.088,14.241,29.139,28.986,0.80393333,0.44606667,0.39203333,0.10273333,47936085.61358722,,641,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00079,,1.0366,1.25283333,0.77823333,0.4814,0.50473333,0.6775,15.582,21.504,16.005,10.083,0.4397,0.4943,0.41676667,0.07845,50279691.60002439,Active,760,1,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00080,,,1.89,0.94716667,0.2683,0.28243333,0.3975,14.796,11.253,35.469,39.012,0.98546667,0.25235,0.38243333,0.0884,8648518.66788419,Active,787,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00081,,,1.03416667,0.64036667,0.43246667,0.45423333,0.38916667,9.015,11.472,20.085,17.628,0.6709,1.13543333,0.40006667,0.10596667,24354570.648387052,,722,0,2,3,0,0,0,1,1,1,1,2,1,3,0,2
B00082,,0.9672,1.04666667,0.57146667,0.39673333,0.34613333,0.3709,17.589,10.995,34.734,41.328,0.6872,1.23653333,0.4128,0.29603333,47912409.31330355,Active,755,0,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00083,,,1.16536667,0.67656667,0.4008,0.42173333,0.3674,12.219,17.121,27.582,22.68,0.5139,0.74386667,0.392,0.16313333,39109889.717678145,Active,651,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00084,,0.9967,2.63326667,1.70483333,0.56423333,0.5526,0.54076667,16.848,11.937,25.722,30.633,0.6892,0.49386667,0.3499,0.06223333,28464931.317873515,Active,718,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00085,,0.6546,1.47036667,1.2116,0.32676667,0.34536667,0.30866667,9.423,11.943,36.606,34.086,1.1115,1.038,0.3489,0.2515,11487426.071079733,Paid,700,0,2,3,0,0,0,1,1,1,1,1,1,3,0,2
B00086,,1.0515,1.14496667,0.816,0.48893333,0.51896667,0.4791,13.056,19.518,29.316,22.854,0.20473333,5.48056667,0.32326667,1.50996667,44797985.329115465,Active,714,1,2,3,0,0,0,1,1,1,1,2,2,3,1,2
B00087,,1.154,2.50273333,1.81546667,0.33903333,0.35846667,0.29156667,10.992,10.182,28.236,29.046,0.73526667,0.5089,0.3505,0.09233333,9243058.25399674,Past due,616,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00088,,,1.47856667,1.0947,0.49876667,0.2466,0.6514,13.854,15.867,18.345,16.332,0.73786667,0.94043333,0.34876667,0.10883333,18636580.564633872,,679,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00089,,0.4031,0.56563333,0.41606667,0.39436667,0.40816667,0.35916667,16.32,11.493,20.088,24.915,0.78353333,2.81816667,0.56946667,0.25723333,209371851.2837912,Active,717,0,2,3,0,0,0,1,1,1,1,2,2,3,0,2
B00090,,,1.08866667,0.76526667,1.0151,1.0491,0.97276667,14.634,22.992,31.281,22.923,0.61836667,1.20293333,0.59703333,0.108,32258766.6113937,,726,0,2,3,1,0,0,1,1,1,1,2,1,3,0,2
B00091,,,0.7806,0.5363,0.728,0.7605,0.70376667,17.901,9.255,28.938,37.584,0.27153333,0.70845,0.4479,0.03715,37240229.40858072,,679,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00092,,1.3138,1.1186,0.6203,0.23236667,0.24046667,0.21963333,12.138,13.662,7.95,6.426,0.66833333,1.10793333,0.58613333,0.13066667,38431414.40507264,Past due,648,1,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00093,,2.0377,1.75243333,1.29226667,0.41736667,0.44026667,0.38193333,14.595,19.08,21.366,16.881,0.72253333,0.59056667,0.3581,0.1136,312872022.05622923,Paid,679,2,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00094,,,0.92873333,0.57983333,0.69033333,0.71763333,0.6335,12.117,19.449,22.203,14.871,0.33416667,1.24656667,0.5012,0.19673333,21156388.540787365,,646,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00095,,,1.31456667,0.90826667,0.40253333,0.42346667,0.3494,7.935,13.935,24.558,18.558,0.311,0.83613333,0.40023333,0.194,21326833.40900197,Active,667,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00096,,2.9914,2.02276667,1.1307,0.44136667,0.47433333,0.38976667,10.266,14.349,20.613,16.53,0.4329,0.92343333,0.28653333,0.08573333,24140059.871463995,Paid,702,2,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00097,-4.9399,1.7025,2.08493333,1.29286667,0.45513333,0.489,0.42266667,13.422,7.743,29.673,35.352,0.37006667,0.61486667,0.2693,0.122,19495196.197160196,Active,713,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00097,-4.931,1.7025,2.08493333,1.29286667,0.45513333,0.489,0.42266667,13.422,7.743,29.673,35.352,0.37006667,0.61486667,0.2693,0.122,19495196.197160196,Active,713,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00098,,1.4453,1.69693333,1.14633333,0.5837,0.3227,0.54523333,13.824,16.257,21.207,18.774,1.37796667,0.62193333,0.4328,0.03353333,13887608.448745595,Past due,728,1,2,3,0,0,0,1,1,1,1,1,0,3,0,2
B00099,-5.032,0.5999,1.4945,1.18903333,0.71906667,0.76196667,0.68446667,15.555,16.605,14.229,13.179,1.73413333,3.04406667,0.33396667,0.24786667,438962801.9027064,Active,722,0,2,3,0,0,0,1,1,1,1,1,2,3,0,2
B00100,,0.4659,0.5601,0.35276667,0.31293333,0.32893333,0.2857,18.015,15.234,33.861,36.642,0.36393333,1.61046667,0.3892,0.29966667,672436620.6359882,Paid,667,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00101,,1.9201,0.84646667,0.5192,0.26956667,0.28093333,0.26176667,9.549,16.998,23.412,15.963,0.54416667,1.97493333,0.4797,0.09593333,33776449.66604596,Paid,740,1,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00102,,1.4733,2.08113333,1.2774,0.3525,0.3751,0.31936667,7.788,18.921,27.084,15.951,0.7557,1.06806667,0.3311,0.21953333,95851974.12455425,Active,763,1,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00103,,1.2955,1.93486667,1.2728,0.4943,0.52556667,0.45226667,10.662,12.843,31.209,29.028,0.29253333,1.09373333,0.3228,0.03496667,23360232.854381233,Active,698,1,2,3,0,0,0,1,1,1,1,2,1,3,0,2
B00104,,0.262,1.6151,0.95706667,0.44236667,0.46,0.4322,12.471,22.767,33.084,22.788,0.68426667,2.4154,0.49856667,0.52453333,438296751.1313948,Active,717,0,2,3,0,0,0,1,1,1,1,2,2,3,0,2
B00105,,1.6095,2.54256667,1.82823333,0.47986667,0.3612,0.47536667,15.039,12.393,28.737,31.383,0.43483333,0.50723333,0.29976667,0.17916667,89980900.51320824,Active,624,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00106,,0.9728,1.40846667,0.96103333,0.54453333,0.5774,0.51306667,18.06,14.643,34.245,37.662,0.61283333,4.04863333,0.32583333,0.57433333,21270333.73329451,Paid,787,0,2,3,0,0,0,1,1,1,1,2,2,3,0,3
B00107,-5.233499999999999,1.0964,1.93716667,1.35356667,0.2039,0.21863333,0.26375,9.648,15.072,23.202,17.778,0.73376667,0.64565,0.2925,0.13705,105731648.4786483,Past due,636,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
