borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score,ccr_rating,tlr_rating,sdlr_rating,ebit_coverage_ratio_rating,ebitda_coverage_ratio_rating,capex_adjusted_coverage_ratio_rating,AP_rating,AR_rating,inventory_days_rating,CCC_rating,debt_to_equity_rating,operating_cash_flow_coverage_rating,profit_margin_rating,liquidity_ratio_rating,credit_score_rating,Sum_Score,Is_Creditworthy
B00015,,0.6993,1.91476667,1.5903,3.4932,3.65463333,3.11763333,14.349,15.03,26.1,25.419,0.7295,0.72773333,0.43413333,0.0656,19119524.36,Active,634,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00016,,,1.5389,1.17316667,4.18663333,4.4688,3.77723333,15.123,22.275,26.511,19.359,0.2507,0.68656667,0.298,0.05773333,19619431.58,,782,0,2,3,3,2,3,1,1,1,1,2,0,3,0,3,25,Credit-worthy
B00017,,,0.91433333,0.40453333,9.95846667,10.50003333,8.80456667,11.34,19.377,22.833,14.796,0.25003333,1.3268,0.36186667,0.12586667,5094475.708,,707,0,2,3,3,2,3,1,1,1,1,2,1,3,0,2,25,Credit-worthy
B00018,-5.0234,1.8225,1.39243333,0.80686667,4.51866667,4.7774,6.04265,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535039,Active,647,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00018,-5.0456,1.8225,1.39243333,0.80686667,4.51866667,4.7774,6.04265,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535039,Active,647,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00018,-5.0347,1.8225,1.39243333,0.80686667,4.51866667,4.7774,6.04265,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535039,Active,647,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00019,,,1.9054,1.09816667,6.5276,6.99726667,5.5309,15.603,18.63,19.263,16.236,0.5025,0.50193333,0.27753333,0.0467,61615618.07,,632,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00020,-5.0218,,2.38383333,1.1834,6.68866667,7.07856667,5.9466,11.451,16.641,33.849,28.659,0.7833,0.431,0.33816667,0.13873333,62824673.54,Paid,748,0,2,3,3,2,3,1,1,1,1,2,0,3,0,3,25,Credit-worthy
B00020,-5.0463,,2.38383333,1.1834,6.68866667,7.07856667,5.9466,11.451,16.641,33.849,28.659,0.7833,0.431,0.33816667,0.13873333,62824673.54,Paid,748,0,2,3,3,2,3,1,1,1,1,2,0,3,0,3,25,Credit-worthy
B00021,,1.7652,1.2012,0.59416667,4.09923333,4.2631,3.91976667,10.407,16.878,27.411,20.94,0.4063,0.75536667,0.5033,0.1801,44461067.36,Past due,753,1,2,3,3,2,3,1,1,1,1,2,0,3,0,3,26,Credit-worthy
B00022,,1.8214,1.19666667,0.84376667,1.49593333,1.0828,2.03725,13.545,14.892,23.184,21.837,0.4676,0.82165,0.5727,0.0893,211824967.2,Active,693,1,2,3,1,0,3,1,1,1,1,2,0,3,0,2,21,Not Credit-worthy
B00023,,1.1699,2.43883333,1.30716667,4.85773333,5.12266667,4.31646667,16.674,12.276,20.802,25.2,1.14246667,0.43543333,0.36626667,0.06193333,972381224.4,Active,661,1,2,3,3,2,3,1,1,1,1,1,0,3,0,1,23,Not Credit-worthy
B00024,,,0.87116667,0.50963333,6.7267,4.46643333,6.31,9.222,16.887,18.327,10.662,0.61213333,25.49953333,0.6094,0.9631,4931844.418,Past due,755,0,2,3,3,2,3,1,1,1,1,2,2,3,0,3,27,Credit-worthy
B00025,,0.6127,1.05746667,0.655,1.61336667,1.68486667,1.5845,9.672,11.964,24.702,22.41,0.52973333,0.8999,0.45203333,0.03886667,30192526.05,Active,661,0,2,3,1,1,2,1,1,1,1,2,0,3,0,1,19,Not Credit-worthy
B00026,,,1.3723,0.94593333,8.9808,7.73753333,8.48143333,7.344,16.266,15.846,6.924,0.73343333,0.5397,0.38286667,0.0573,34942985.28,,650,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00027,,0.0041,1.14706667,0.7745,4.45913333,4.66976667,4.045,9.996,17.133,29.967,22.83,0.85776667,1.0234,0.44223333,0.28703333,10627911.73,Paid,674,0,2,3,3,2,3,1,1,1,1,2,1,3,0,2,25,Credit-worthy
B00028,,1.4425,1.97686667,1.1583,8.59873333,5.7754,7.80493333,20.013,17.442,27.69,30.261,1.28056667,0.36076667,0.42216667,0.02606667,7445362.909,Paid,615,1,2,3,3,2,3,1,1,1,1,1,0,3,0,1,23,Not Credit-worthy
B00029,,,1.5593,1.07736667,7.44133333,7.69353333,10.381,17.196,13.881,22.011,25.326,0.43973333,0.75966667,0.5979,0.05643333,2725838119,,660,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00030,,,3.50043333,2.245,4.891,5.25013333,3.89476667,12.039,16.239,18.495,14.295,1.0733,0.36813333,0.272,0.09846667,60330424.86,Paid,702,0,1,2,3,2,3,1,1,1,1,1,0,3,0,2,21,Not Credit-worthy
B00031,,0.8034,1.44216667,0.93536667,5.6417,5.89003333,5.3041,12.291,11.451,13.647,14.487,0.49566667,0.74346667,0.43833333,0.0376,818562810.1,Active,709,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00032,,1.2516,2.1899,1.1823,5.6529,5.9854,5.6972,8.178,15.237,19.713,12.654,0.92986667,0.40753333,0.34923333,0.15826667,65128693.87,Default,682,1,2,3,3,2,3,1,1,1,1,2,0,3,0,2,25,Credit-worthy
B00033,-4.9239,0.9483,2.57106667,1.35916667,5.022,5.4166,4.3552,14.067,17.484,27.861,24.444,0.35953333,0.52233333,0.25623333,0.054,15189337.92,Paid,723,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00034,,1.2628,1.64173333,1.05463333,3.8284,3.9791,3.45013333,14.466,19.134,20.733,16.065,0.54283333,0.64316667,0.50863333,0.10696667,198369738.5,Paid,742,1,2,3,3,2,3,1,1,1,1,2,0,3,0,3,26,Credit-worthy
B00035,,1.1544,1.21166667,0.81393333,4.50713333,3.34273333,4.37993333,14.535,10.452,31.362,35.445,2.58883333,1.18013333,0.60823333,0.19683333,121491613.1,Paid,721,1,2,3,3,2,3,1,1,1,1,0,1,3,0,2,24,Not Credit-worthy
B00036,,1.6792,0.97003333,0.52333333,4.61093333,4.8492,4.5849,10.152,23.163,20.814,7.803,0.45086667,2.9078,0.40063333,0.84483333,44673801.85,Active,781,1,2,3,3,2,3,1,1,1,1,2,2,3,0,3,28,Credit-worthy
B00037,,,0.9401,0.4546,8.90486667,2.4388,12.6764,12.699,16.107,16.149,12.741,0.48173333,4.08543333,0.58466667,0.04096667,47513706.66,,602,0,2,3,3,1,3,1,1,1,1,2,2,3,0,1,24,Not Credit-worthy
B00038,,1.4512,0.5781,0.30063333,1.67496667,1.76026667,2.35235,12.219,10.188,20.94,22.971,0.20983333,2.2461,0.38113333,0.1951,67561200.82,Paid,737,1,2,3,1,1,3,1,1,1,1,2,2,3,0,2,24,Not Credit-worthy
B00039,,0.9366,1.1891,0.85796667,3.1248,3.24956667,4.54745,18.057,15.567,24.624,27.114,0.52323333,0.6172,0.49166667,0.08205,93368796.08,Active,683,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00040,,,2.1384,1.24703333,7.11896667,6.02143333,6.24556667,16.422,15.687,20.193,20.928,1.17643333,0.4946,0.36316667,0.07693333,24104325.12,,764,0,2,3,3,2,3,1,1,1,1,1,0,3,0,3,24,Not Credit-worthy
B00041,,1.2964,1.0596,0.5681,4.05303333,4.2115,4.05606667,12.06,16.368,38.949,34.641,0.78076667,0.98163333,0.4831,0.05323333,84139769.13,Active,728,1,2,3,3,2,3,1,1,1,1,2,0,3,0,2,25,Credit-worthy
B00042,,1.1057,1.0294,0.75336667,6.22576667,6.49433333,5.99893333,14.751,21.912,21.324,14.163,0.25566667,8.36983333,0.45663333,0.04966667,2908787.471,Paid,772,1,2,3,3,2,3,1,1,1,1,2,2,3,0,3,28,Credit-worthy
B00043,,,2.34036667,1.45333333,5.31126667,5.59553333,5.08703333,13.917,16.662,19.47,16.725,1.18956667,0.56306667,0.37346667,0.09953333,17618138.72,,623,0,2,3,3,2,3,1,1,1,1,1,0,3,0,1,22,Not Credit-worthy
B00044,,1.1934,0.6028,0.3807,2.54723333,1.88646667,2.34346667,18.852,16.797,22.884,24.939,0.28056667,5.345,0.34746667,1.7029,10916961.29,Active,719,1,2,3,2,1,3,1,1,1,1,2,2,3,1,2,26,Credit-worthy
B00045,,1.2141,1.40143333,0.89673333,5.07136667,5.2767,4.92076667,15.783,13.263,34.605,37.125,0.83863333,1.29156667,0.5177,0.02686667,4883595.54,Active,741,1,2,3,3,2,3,1,1,1,1,2,1,3,0,3,27,Credit-worthy
B00046,,,1.25796667,0.96496667,5.70063333,6.1116,4.94703333,8.817,17.457,20.307,11.667,0.3511,1.72425,0.2749,0.2524,86149641.56,,652,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00047,,,0.9913,0.74933333,4.69106667,4.9029,4.1941,12.495,14.877,29.166,26.784,0.41263333,1.49676667,0.43966667,0.14903333,94188487.88,Active,626,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00048,,1.6304,1.10496667,0.73396667,1.33616667,1.3963,1.26006667,9.816,16.881,30.753,23.688,0.52816667,0.89453333,0.44416667,0.08486667,42930837.42,Paid,650,1,2,3,1,0,2,1,1,1,1,2,0,3,0,1,19,Not Credit-worthy
B00049,,1.06,2.38766667,1.77603333,5.2471,5.51846667,4.6321,9.69,17.784,28.845,20.751,0.94446667,0.4983,0.39373333,0.13303333,23020549.16,Active,667,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00050,,,1.82316667,1.05703333,5.26513333,5.51233333,4.75363333,12.744,15.216,24.723,22.251,0.4623,0.8861,0.4208,0.05596667,82295424.1,Active,665,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00051,,0.9876,2.12673333,1.2696,4.41846667,4.6914,6.21425,11.046,16.533,26.967,21.48,0.86256667,0.23215,0.30926667,0.08445,518569486.8,Past due,598,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00052,,1.4527,1.37506667,0.743,7.40296667,6.0631,6.928,9.156,21.888,29.259,16.527,1.15693333,1.2456,0.43926667,0.34613333,209185660.8,Paid,737,1,2,3,3,2,3,1,1,1,1,1,1,3,0,2,25,Credit-worthy
B00053,,,3.6,1.90293333,4.5466,4.87616667,4.36526667,13.926,11.334,16.149,18.741,0.65543333,0.28756667,0.27766667,0.00156667,30043092.54,,719,0,1,3,3,2,3,1,1,1,1,2,0,3,0,2,23,Not Credit-worthy
B00054,,,3.0111,1.4295,7.23336667,7.62593333,6.95513333,14.298,12.108,17.739,19.929,3.09146667,0.44986667,0.36443333,0.0899,49631323.71,Default,784,0,1,3,3,2,3,1,1,1,1,0,0,3,0,3,22,Not Credit-worthy
B00055,,0.1471,1.5735,0.9429,4.01573333,3.74336667,3.66563333,7.635,9.618,7.812,5.829,1.06673333,0.73363333,0.59846667,0.05316667,7352067.131,Active,727,0,2,3,3,2,3,1,1,1,1,1,0,3,0,2,23,Not Credit-worthy
B00056,,,1.38873333,1.0829,2.93826667,3.11433333,2.5829,7.269,17.709,18.153,7.713,0.40876667,3.3087,0.3561,0.4323,6625026.202,Active,826,0,2,3,2,2,3,1,1,1,1,2,2,3,0,4,27,Credit-worthy
B00057,,1.0394,0.43503333,0.2326,17.13953333,17.72313333,16.97363333,15.678,12.549,25.053,28.182,0.79453333,55.8933,0.5829,0,61482616.95,Active,583,1,2,3,3,2,3,1,1,1,1,2,2,3,0,1,26,Credit-worthy
B00058,,1.1284,1.33896667,0.72816667,6.38726667,6.84016667,6.04976667,13.716,13.401,27.114,27.429,1.22753333,1.6087,0.28526667,0.49493333,25614740.12,Paid,779,1,2,3,3,2,3,1,1,1,1,1,1,3,0,3,26,Credit-worthy
B00059,,2.1798,1.2886,0.83403333,1.76726667,1.86676667,2.2622,8.727,17.376,17.427,8.778,0.44136667,0.57455,0.35816667,0.03185,55494324.38,Active,754,2,2,3,1,1,3,1,1,1,1,2,0,3,0,3,24,Not Credit-worthy
B00060,,0.4894,1.40546667,1.12843333,3.62696667,3.79063333,3.44576667,13.416,17.07,23.784,20.13,0.7841,1.05633333,0.44106667,0.13573333,7469567.668,Paid,655,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00061,-4.947,,2.56756667,1.301,5.2402,5.63116667,4.56833333,16.926,10.245,31.854,38.535,0.59813333,0.8582,0.27016667,0.14106667,4405851.569,Active,628,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00062,,,0.44253333,0.2316,10.53366667,10.8866,9.83673333,13.158,15.258,26.817,24.717,0.41323333,4.83066667,0.60453333,0.16563333,36107091.29,,721,0,2,3,3,2,3,1,1,1,1,2,2,3,0,2,26,Credit-worthy
B00063,,1.3263,2.40113333,1.9317,5.585,5.997,4.9054,13.935,12.69,29.43,30.675,0.8612,0.39703333,0.272,0.1181,607450342.7,Past due,669,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00064,,1.1029,1.40993333,1.02526667,5.45803333,5.78093333,5.2828,15.549,20.313,24.036,19.272,0.3157,0.88933333,0.3311,0.1717,9377838.289,Paid,667,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00065,,,1.6288,0.77993333,7.69076667,5.61993333,6.81753333,16.977,10.905,26.829,32.901,0.8767,1.6291,0.42053333,0.1954,264187643.6,,616,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00066,,1.1147,2.52113333,1.81866667,6.50296667,4.46616667,5.80253333,18.807,11.784,31.122,38.145,0.396,0.52626667,0.32776667,0.048,10568194.97,Paid,732,1,2,3,3,2,3,1,1,1,1,2,0,3,0,2,25,Credit-worthy
B00067,,,2.52703333,1.21063333,3.32363333,3.5203,3.16356667,10.062,19.152,26.154,17.064,1.06633333,0.41846667,0.339,0.06096667,123375905,Active,647,0,2,3,3,2,3,1,1,1,1,1,0,3,0,1,22,Not Credit-worthy
B00068,,0.1336,1.3552,0.93443333,2.54863333,1.62673333,2.48606667,15.084,16.665,28.068,26.487,0.6298,1.09546667,0.38736667,0.03146667,14923831.65,Active,605,0,2,3,2,1,3,1,1,1,1,2,1,3,0,1,22,Not Credit-worthy
B00069,,0.4222,1.39963333,0.71836667,1.93893333,2.02473333,2.7553,20.529,20.796,19.524,19.257,0.6395,0.4963,0.45833333,0.11175,25368328.82,Paid,592,0,2,3,1,1,3,1,1,1,1,2,0,3,0,1,20,Not Credit-worthy
B00070,,,3.0141,2.35226667,6.5429,6.95166667,5.85246667,8.415,11.613,23.172,19.974,1.0838,0.38183333,0.31906667,0.0734,137631202.2,Active,723,0,1,2,3,2,3,1,1,1,1,1,0,3,0,2,21,Not Credit-worthy
B00071,,,1.5071,1.17473333,6.9808,7.30123333,6.52976667,17.922,14.853,15.861,18.93,0.77086667,0.76856667,0.43763333,0.10753333,739573785.2,,695,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00072,,1.6704,1.77273333,1.17973333,2.69046667,2.31253333,2.43746667,16.803,10.836,20.175,26.142,1.5592,1.16363333,0.32276667,0.15376667,44082675.87,Paid,700,1,2,3,2,1,3,1,1,1,1,1,1,3,0,2,23,Not Credit-worthy
B00073,,1.5036,2.50603333,1.95593333,2.2647,2.4332,2.18906667,7.29,14.661,33.558,26.187,0.91453333,0.45686667,0.284,0.09643333,313062938.1,Active,685,1,2,3,2,1,3,1,1,1,1,2,0,3,0,2,23,Not Credit-worthy
B00074,,0.897,1.38183333,0.88746667,3.76206667,3.9656,3.258,8.751,12,40.998,37.749,0.90923333,0.92786667,0.3647,0.3073,56381252.46,Active,727,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00075,,,1.07303333,0.74106667,6.6924,4.35126667,6.43326667,17.511,11.625,22.959,28.845,0.43866667,2.0106,0.44016667,0.2235,13390434.28,,627,0,2,3,3,2,3,1,1,1,1,2,2,3,0,1,25,Credit-worthy
B00076,,,1.77063333,0.8627,6.21496667,3.82756667,5.63696667,14.628,14.88,37.227,36.975,0.41573333,0.9804,0.29623333,0.1262,13130479.53,,766,0,2,3,3,2,3,1,1,1,1,2,0,3,0,3,25,Credit-worthy
B00077,,,1.88016667,1.3178,2.59793333,2.77856667,2.1872,19.473,7.623,27.621,39.471,0.47553333,0.6033,0.2831,0.14796667,312530689.8,Active,671,0,2,3,2,1,3,1,1,1,1,2,0,3,0,2,22,Not Credit-worthy
B00078,,,2.286,1.33333333,5.29006667,2.4342,7.44535,14.088,14.241,29.139,28.986,0.80393333,0.44606667,0.39203333,0.10273333,47936085.61,,641,0,2,3,3,1,3,1,1,1,1,2,0,3,0,1,22,Not Credit-worthy
B00079,,1.0366,1.25283333,0.77823333,4.81373333,5.04706667,6.7754,15.582,21.504,16.005,10.083,0.4397,0.4943,0.41676667,0.07845,50279691.6,Active,760,1,2,3,3,2,3,1,1,1,1,2,0,3,0,3,26,Credit-worthy
B00080,,,1.89,0.94716667,2.683,2.82426667,3.97495,14.796,11.253,35.469,39.012,0.98546667,0.25235,0.38243333,0.0884,8648518.668,Active,787,0,2,3,2,1,3,1,1,1,1,2,0,3,0,3,23,Not Credit-worthy
B00081,,,1.03416667,0.64036667,4.32483333,4.54196667,3.89153333,9.015,11.472,20.085,17.628,0.6709,1.13543333,0.40006667,0.10596667,24354570.65,,722,0,2,3,3,2,3,1,1,1,1,2,1,3,0,2,25,Credit-worthy
B00082,,0.9672,1.04666667,0.57146667,3.96746667,3.46123333,3.70933333,17.589,10.995,34.734,41.328,0.6872,1.23653333,0.4128,0.29603333,47912409.31,Active,755,0,2,3,3,2,3,1,1,1,1,2,1,3,0,3,26,Credit-worthy
B00083,,,1.16536667,0.67656667,4.00796667,4.2176,3.67406667,12.219,17.121,27.582,22.68,0.5139,0.74386667,0.392,0.16313333,39109889.72,Active,651,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00084,,0.9967,2.63326667,1.70483333,5.64226667,5.52603333,5.40786667,16.848,11.937,25.722,30.633,0.6892,0.49386667,0.3499,0.06223333,28464931.32,Active,718,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00085,,0.6546,1.47036667,1.2116,3.26736667,3.45356667,3.08706667,9.423,11.943,36.606,34.086,1.1115,1.038,0.3489,0.2515,11487426.07,Paid,700,0,2,3,3,2,3,1,1,1,1,1,1,3,0,2,24,Not Credit-worthy
B00086,,1.0515,1.14496667,0.816,4.88953333,5.18993333,4.79093333,13.056,19.518,29.316,22.854,0.20473333,5.48056667,0.32326667,1.50996667,44797985.33,Active,714,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,28,Credit-worthy
B00087,,1.154,2.50273333,1.81546667,3.39063333,3.58483333,2.91576667,10.992,10.182,28.236,29.046,0.73526667,0.5089,0.3505,0.09233333,9243058.254,Past due,616,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00088,,,1.47856667,1.0947,4.98763333,2.4661,6.5139,13.854,15.867,18.345,16.332,0.73786667,0.94043333,0.34876667,0.10883333,18636580.56,,679,0,2,3,3,1,3,1,1,1,1,2,0,3,0,2,23,Not Credit-worthy
B00089,,0.4031,0.56563333,0.41606667,3.94363333,4.08156667,3.59173333,16.32,11.493,20.088,24.915,0.78353333,2.81816667,0.56946667,0.25723333,209371851.3,Active,717,0,2,3,3,2,3,1,1,1,1,2,2,3,0,2,26,Credit-worthy
B00090,,,1.08866667,0.76526667,10.1508,10.491,9.72766667,14.634,22.992,31.281,22.923,0.61836667,1.20293333,0.59703333,0.108,32258766.61,,726,0,2,3,3,2,3,1,1,1,1,2,1,3,0,2,25,Credit-worthy
B00091,,,0.7806,0.5363,7.28036667,7.60466667,7.03776667,17.901,9.255,28.938,37.584,0.27153333,0.70845,0.4479,0.03715,37240229.41,,679,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00092,,1.3138,1.1186,0.6203,2.32356667,2.4043,2.19633333,12.138,13.662,7.95,6.426,0.66833333,1.10793333,0.58613333,0.13066667,38431414.41,Past due,648,1,2,3,2,1,3,1,1,1,1,2,1,3,0,1,23,Not Credit-worthy
B00093,,2.0377,1.75243333,1.29226667,4.17373333,4.40236667,3.81946667,14.595,19.08,21.366,16.881,0.72253333,0.59056667,0.3581,0.1136,312872022.1,Paid,679,2,2,3,3,2,3,1,1,1,1,2,0,3,0,2,26,Credit-worthy
B00094,,,0.92873333,0.57983333,6.9031,7.17623333,6.33506667,12.117,19.449,22.203,14.871,0.33416667,1.24656667,0.5012,0.19673333,21156388.54,,646,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00095,,,1.31456667,0.90826667,4.0256,4.23453333,3.4939,7.935,13.935,24.558,18.558,0.311,0.83613333,0.40023333,0.194,21326833.41,Active,667,0,2,3,3,2,3,1,1,1,1,2,0,3,0,1,23,Not Credit-worthy
B00096,,2.9914,2.02276667,1.1307,4.41363333,4.7432,3.8977,10.266,14.349,20.613,16.53,0.4329,0.92343333,0.28653333,0.08573333,24140059.87,Paid,702,2,2,3,3,2,3,1,1,1,1,2,0,3,0,2,26,Credit-worthy
B00097,-4.9399,1.7025,2.08493333,1.29286667,4.55126667,4.88993333,4.2268,13.422,7.743,29.673,35.352,0.37006667,0.61486667,0.2693,0.122,19495196.2,Active,713,1,2,3,3,2,3,1,1,1,1,2,0,3,0,2,25,Credit-worthy
B00097,-4.931,1.7025,2.08493333,1.29286667,4.55126667,4.88993333,4.2268,13.422,7.743,29.673,35.352,0.37006667,0.61486667,0.2693,0.122,19495196.2,Active,713,1,2,3,3,2,3,1,1,1,1,2,0,3,0,2,25,Credit-worthy
B00098,,1.4453,1.69693333,1.14633333,5.8373,3.22713333,5.45213333,13.824,16.257,21.207,18.774,1.37796667,0.62193333,0.4328,0.03353333,13887608.45,Past due,728,1,2,3,3,2,3,1,1,1,1,1,0,3,0,2,24,Not Credit-worthy
B00099,-5.032,0.5999,1.4945,1.18903333,7.1907,7.6197,6.84486667,15.555,16.605,14.229,13.179,1.73413333,3.04406667,0.33396667,0.24786667,438962801.9,Active,722,0,2,3,3,2,3,1,1,1,1,1,2,3,0,2,25,Credit-worthy
